# {"t_start": 1553046201.172908, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,1.168408
-500.0,500,1.518569
-500.0,500,3.125195
-500.0,500,4.638847
-500.0,500,6.16416
-500.0,500,7.662654
-500.0,500,9.174632
-500.0,500,10.6898
-500.0,500,12.228055
-500.0,500,13.790708
-500.0,500,15.41924
-500.0,500,16.977063
-500.0,500,18.488298
-386.0,387,19.55226
-500.0,500,21.05203
-500.0,500,22.812874
-500.0,500,25.304142
-500.0,500,27.333531
-500.0,500,28.826824
-500.0,500,30.310769
-500.0,500,32.483411
-500.0,500,34.804252
-500.0,500,36.387211
-500.0,500,37.960513
-500.0,500,39.576529
-500.0,500,41.265915
-500.0,500,42.893372
-500.0,500,44.395005
-410.0,411,45.639664
-500.0,500,47.237375
-348.0,349,48.604256
-500.0,500,50.475569
-497.0,498,53.276462
-500.0,500,55.850857
-414.0,415,57.626481
-500.0,500,60.081598
-461.0,462,62.934378
-500.0,500,65.064962
-500.0,500,67.069383
-483.0,484,68.703742
-466.0,467,70.401292
-500.0,500,72.474789
-354.0,355,73.928034
-500.0,500,75.845983
-342.0,343,77.119593
-489.0,490,79.019337
-480.0,481,80.9366
-327.0,328,82.191064
-424.0,425,84.803341
-309.0,310,87.095661
-228.0,229,88.562611
-297.0,298,90.436828
-420.0,421,92.142326
-369.0,370,93.677898
-205.0,206,94.53692
-176.0,177,95.580911
-228.0,229,97.092097
-349.0,350,99.059617
-315.0,316,100.360215
-261.0,262,101.36649
-176.0,177,102.039165
-413.0,414,104.211829
-286.0,287,105.883067
-225.0,226,107.059424
-173.0,174,107.810656
-318.0,319,109.119951
-212.0,213,109.960385
-313.0,314,111.357451
-235.0,236,112.759843
-299.0,300,114.565734
-205.0,206,115.399936
-249.0,250,116.352024
-296.0,297,117.482506
-199.0,200,118.253792
-228.0,229,119.462395
-196.0,197,120.797253
-257.0,258,122.30913
-247.0,248,123.453693
-156.0,157,124.050866
-207.0,208,124.866472
-235.0,236,125.850468
-235.0,236,126.846763
-329.0,330,128.144493
-302.0,303,129.292181
-302.0,303,130.394544
-242.0,243,131.317712
-216.0,217,132.185688
-171.0,172,132.86438
-189.0,190,133.610718
-227.0,228,134.510659
-184.0,185,135.653827
-500.0,500,139.318952
-242.0,243,140.856913
-216.0,217,142.228919
-171.0,172,143.083471
-159.0,160,143.689527
-210.0,211,144.489559
-228.0,229,145.3824
-182.0,183,146.103672
-253.0,254,147.263865
-232.0,233,148.729034
-184.0,185,149.812922
-210.0,211,150.999073
-140.0,141,151.575552
-225.0,226,152.526628
-202.0,203,153.388134
-159.0,160,154.022482
-137.0,138,154.562901
-204.0,205,155.358697
-213.0,214,156.16068
-239.0,240,157.026343
-196.0,197,157.690737
-182.0,183,158.311137
-151.0,152,158.844214
-167.0,168,159.526405
-233.0,234,160.40304
-159.0,160,161.003835
-226.0,227,161.93106
-177.0,178,162.66245
-245.0,246,163.729948
-125.0,126,164.221775
-161.0,162,164.86069
-157.0,158,165.418134
-193.0,194,166.087877
-167.0,168,166.748889
-143.0,144,167.306199
-126.0,127,167.792674
-189.0,190,168.599246
-167.0,168,169.297821
-400.0,401,171.048809
-128.0,129,172.023201
-187.0,188,173.463272
-203.0,204,175.048951
-122.0,123,175.814502
-153.0,154,176.78824
-154.0,155,177.744061
-159.0,160,178.791222
-147.0,148,179.471172
-144.0,145,180.072047
-185.0,186,180.848157
-107.0,108,181.310741
-132.0,133,181.835168
-241.0,242,182.854232
-159.0,160,183.447619
-132.0,133,183.968127
-148.0,149,184.539275
-151.0,152,185.13377
-151.0,152,185.732347
-184.0,185,186.489073
-209.0,210,187.384631
-207.0,208,188.289227
-169.0,170,189.012798
-195.0,196,189.801187
-109.0,110,190.258577
-162.0,163,191.080585
-148.0,149,192.282707
-159.0,160,193.541232
-116.0,117,194.417072
-170.0,171,195.584722
-155.0,156,196.598215
-138.0,139,197.510132
-157.0,158,198.574049
-125.0,126,199.171571
-143.0,144,199.775983
-123.0,124,200.297686
-146.0,147,200.917009
-115.0,116,201.414541
-150.0,151,202.061113
-132.0,133,202.606044
-164.0,165,203.617891
-111.0,112,204.390243
-207.0,208,205.752799
-166.0,167,206.859463
-134.0,135,207.438253
-152.0,153,208.083581
-215.0,216,209.037015
-132.0,133,209.615612
-143.0,144,210.200217
-131.0,132,210.741914
-163.0,164,211.701862
-114.0,115,212.407477
-450.0,451,215.100172
-156.0,157,215.738894
-172.0,173,216.445432
-175.0,176,217.16065
-159.0,160,217.799354
-132.0,133,218.342569
-150.0,151,219.075496
-114.0,115,219.847504
-174.0,175,221.029936
-155.0,156,222.131386
-107.0,108,222.855663
-195.0,196,223.727741
-143.0,144,224.232995
-121.0,122,224.633549
-195.0,196,225.265873
-147.0,148,225.751724
-149.0,150,226.23394
-143.0,144,226.735402
-159.0,160,227.299061
-133.0,134,227.803504
-124.0,125,228.200839
-117.0,118,228.574279
-142.0,143,229.011442
-92.0,93,229.304184
-128.0,129,229.714094
-126.0,127,230.10678
-128.0,129,230.494659
-143.0,144,230.936663
-105.0,106,231.264192
-104.0,105,231.598268
-149.0,150,232.060545
-106.0,107,232.39509
-165.0,166,232.911965
-136.0,137,233.376804
-112.0,113,233.847605
-137.0,138,234.359833
-137.0,138,234.916652
-140.0,141,235.461253
-113.0,114,235.909338
-120.0,121,236.390546
-109.0,110,236.822134
-141.0,142,237.390738
-141.0,142,237.941219
-135.0,136,238.470181
-111.0,112,238.939384
-156.0,157,239.972011
-142.0,143,240.958227
-120.0,121,241.749408
-115.0,116,242.52632
-103.0,104,243.082827
-126.0,127,243.674627
-117.0,118,244.188503
-144.0,145,244.833624
-134.0,135,245.444585
-129.0,130,246.013565
-123.0,124,246.594106
-143.0,144,247.22197
-155.0,156,247.829206
-145.0,146,248.395386
-187.0,188,249.12834
-160.0,161,249.784404
-106.0,107,250.215463
-123.0,124,250.722491
-115.0,116,251.176467
-107.0,108,251.565943
-98.0,99,251.894893
-119.0,120,252.242945
-161.0,162,252.715797
-165.0,166,253.205971
-137.0,138,253.620998
-168.0,169,254.114578
-99.0,100,254.41223
-192.0,193,255.433602
-104.0,105,256.355079
-106.0,107,257.297072
-107.0,108,258.112705
-171.0,172,259.4083
-103.0,104,260.20219
-129.0,130,261.108188
-174.0,175,262.190876
-136.0,137,263.040054
-99.0,100,263.461351
-235.0,236,264.432622
-144.0,145,265.070807
-139.0,140,265.674173
-117.0,118,266.149071
-126.0,127,266.646123
-133.0,134,267.160571
-175.0,176,267.783551
-104.0,105,268.178663
-139.0,140,268.662967
-112.0,113,269.052656
-92.0,93,269.40476
-133.0,134,269.903495
-114.0,115,270.336538
-125.0,126,270.778473
-125.0,126,271.294756
-245.0,246,272.288142
-166.0,167,272.947167
-134.0,135,273.494112
-116.0,117,273.977135
-106.0,107,274.406708
-108.0,109,274.846964
