% time spent exploring,episodes,mean 100 episode reward,steps
64,100,-363.3,36030
48,200,-168.5,52976
35,300,-130.4,66112
24,400,-109.4,77155
14,500,-97.0,86955
5,600,-90.1,96065
2,700,-83.3,104494
2,800,-82.8,112874
2,900,-78.5,120826
2,1000,-81.4,129066
2,1100,-95.1,138679
2,1200,-75.3,146309
2,1300,-72.1,153621
2,1400,-71.2,160845
2,1500,-71.3,168075
2,1600,-72.1,175381
2,1700,-71.0,182584
2,1800,-68.4,189520
2,1900,-68.0,196415
2,2000,-68.4,203351
2,2100,-73.5,210800
2,2200,-68.8,217785
2,2300,-67.3,224612
2,2400,-67.4,231455
2,2500,-68.0,238357
2,2600,-67.6,245212
2,2700,-67.2,252029
2,2800,-69.9,259119
2,2900,-67.3,265953
2,3000,-67.7,272825
2,3100,-67.4,279670
2,3200,-68.9,286659
2,3300,-67.6,293515
2,3400,-67.9,300409
2,3500,-64.9,307002
2,3600,-64.9,313595
2,3700,-67.2,320410
2,3800,-66.4,327152
2,3900,-67.2,333967
2,4000,-67.8,340851
2,4100,-67.1,347658
2,4200,-66.2,354380
2,4300,-64.8,360958
2,4400,-65.0,367561
2,4500,-64.7,374135
2,4600,-66.2,380854
2,4700,-66.5,387604
2,4800,-70.3,394736
2,4900,-64.3,401269
2,5000,-66.6,408032
2,5100,-66.5,414781
2,5200,-66.1,421491
2,5300,-64.5,428042
2,5400,-65.2,434665
2,5500,-66.4,441405
2,5600,-66.4,448148
2,5700,-67.3,454979
2,5800,-70.2,462094
2,5900,-65.4,468739
2,6000,-67.8,475615
2,6100,-65.5,482267
2,6200,-66.8,489048
2,6300,-65.4,495691
2,6400,-66.1,502403
2,6500,-65.8,509083
2,6600,-66.0,515779
2,6700,-67.8,522664
2,6800,-66.5,529410
2,6900,-64.4,535946
2,7000,-64.9,542537
2,7100,-65.0,549138
2,7200,-67.0,555942
2,7300,-66.2,562658
2,7400,-66.1,569369
2,7500,-64.8,575954
2,7600,-64.6,582509
2,7700,-66.2,589231
2,7800,-65.1,595843
2,7900,-63.9,602330
2,8000,-65.1,608942
2,8100,-67.2,615760
2,8200,-66.6,622517
2,8300,-64.8,629101
2,8400,-68.5,636055
2,8500,-65.4,642699
2,8600,-64.3,649231
2,8700,-64.6,655792
2,8800,-66.6,662549
2,8900,-68.0,669451
2,9000,-65.5,676105
2,9100,-66.4,682843
2,9200,-65.5,689489
2,9300,-66.9,696281
2,9400,-65.4,702917
2,9500,-65.1,709523
2,9600,-69.6,716581
2,9700,-65.0,723186
2,9800,-65.4,729821
2,9900,-65.4,736461
2,10000,-65.3,743095
2,10100,-64.0,749596
2,10200,-63.7,756064
2,10300,-67.7,762938
2,10400,-63.8,769419
2,10500,-64.9,776008
2,10600,-65.2,782625
2,10700,-66.0,789325
2,10800,-68.3,796259
2,10900,-66.6,803023
2,11000,-66.7,809790
2,11100,-68.3,816721
2,11200,-63.9,823211
2,11300,-65.0,829806
2,11400,-65.0,836407
2,11500,-64.7,842980
2,11600,-63.9,849466
2,11700,-65.3,856093
2,11800,-64.0,862590
2,11900,-64.5,869141
2,12000,-66.1,875850
2,12100,-65.6,882509
2,12200,-65.7,889177
2,12300,-66.5,895924
2,12400,-64.9,902515
2,12500,-64.8,909093
2,12600,-68.0,915989
2,12700,-65.1,922598
2,12800,-65.1,929209
2,12900,-65.0,935809
2,13000,-64.2,942327
2,13100,-65.7,948995
2,13200,-64.8,955574
2,13300,-65.4,962219
2,13400,-64.6,968776
2,13500,-64.2,975292
2,13600,-65.7,981965
2,13700,-64.5,988517
2,13800,-65.4,995160
