# {"t_start": 1553044375.4330406, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,1.923495
-500.0,500,2.504058
-500.0,500,3.082601
-500.0,500,3.705494
-500.0,500,4.515635
-500.0,500,5.072974
-500.0,500,5.497452
-500.0,500,5.859473
-500.0,500,6.309803
-500.0,500,6.661435
-500.0,500,7.010015
-500.0,500,7.368822
-500.0,500,7.805304
-500.0,500,8.150922
-500.0,500,8.495474
-500.0,500,8.840386
-500.0,500,9.257572
-500.0,500,9.565989
-500.0,500,9.867567
-500.0,500,10.166537
-500.0,500,10.553189
-500.0,500,10.865432
-500.0,500,11.165802
-500.0,500,11.470165
-500.0,500,11.850125
-500.0,500,12.159504
-500.0,500,12.460649
-500.0,500,12.766968
-500.0,500,13.157615
-500.0,500,13.509738
-500.0,500,13.860398
-500.0,500,14.220738
-500.0,500,14.652324
-500.0,500,15.005083
-500.0,500,15.36016
-500.0,500,15.705007
-500.0,500,16.154809
-500.0,500,16.50088
-500.0,500,16.845214
-500.0,500,17.248781
-500.0,500,18.151756
-500.0,500,18.88851
-500.0,500,19.660768
-438.0,439,20.305036
-500.0,500,21.059433
-500.0,500,21.778992
-500.0,500,22.372018
-500.0,500,22.925503
-500.0,500,23.508748
-500.0,500,24.187467
-500.0,500,24.754033
-500.0,500,25.254236
-500.0,500,25.620249
-500.0,500,26.070927
-500.0,500,26.422667
-500.0,500,26.771835
-500.0,500,27.121733
-419.0,420,27.5015
-465.0,466,27.8258
-500.0,500,28.198773
-383.0,384,28.466538
-500.0,500,28.814194
-500.0,500,29.244963
-394.0,395,29.513147
-500.0,500,29.833806
-500.0,500,30.150738
-453.0,454,30.522729
-500.0,500,30.810233
-500.0,500,31.117352
-500.0,500,31.422938
-498.0,499,31.803125
-496.0,497,32.102548
-500.0,500,32.411796
-500.0,500,32.699609
-325.0,326,32.968418
-500.0,500,33.311293
-500.0,500,33.659399
-500.0,500,34.003064
-500.0,500,34.356199
-333.0,334,34.700074
-500.0,500,35.054353
-500.0,500,35.42257
-500.0,500,35.771046
-500.0,500,36.191355
-500.0,500,36.534161
-500.0,500,36.884226
-500.0,500,37.212565
-500.0,500,37.593178
-500.0,500,37.905184
-500.0,500,38.209011
-500.0,500,38.506921
-500.0,500,38.895692
-500.0,500,39.202735
-500.0,500,39.505376
-500.0,500,39.81746
-500.0,500,40.217906
-500.0,500,40.523648
-500.0,500,40.826853
-376.0,377,41.054563
-500.0,500,41.377531
-500.0,500,41.819904
-500.0,500,42.191149
-450.0,451,42.501487
-500.0,500,42.85158
-500.0,500,43.288894
-386.0,387,43.567024
-500.0,500,43.932003
-500.0,500,44.276936
-481.0,482,44.721224
-500.0,500,45.083224
-500.0,500,45.695175
-500.0,500,46.430242
-500.0,500,47.317969
-500.0,500,48.037375
-500.0,500,48.754231
-500.0,500,49.418856
-326.0,327,49.785354
-500.0,500,50.499455
-500.0,500,51.06795
-500.0,500,51.657297
-500.0,500,52.247669
-500.0,500,52.941464
-500.0,500,53.389207
-500.0,500,53.757908
-500.0,500,54.119003
-500.0,500,54.557104
-500.0,500,54.909434
-500.0,500,55.26346
-500.0,500,55.603049
-500.0,500,56.039565
-500.0,500,56.381633
-500.0,500,56.731412
-500.0,500,57.070442
-500.0,500,57.437118
-500.0,500,57.729122
-500.0,500,58.032064
-500.0,500,58.333664
-500.0,500,58.721812
-500.0,500,59.037683
-500.0,500,59.340452
-500.0,500,59.648842
-500.0,500,60.032293
-500.0,500,60.346214
-500.0,500,60.645127
-500.0,500,60.949814
-500.0,500,61.347579
-500.0,500,61.703228
-500.0,500,62.058429
-500.0,500,62.433521
-500.0,500,62.866053
-500.0,500,63.21308
-500.0,500,63.554437
-500.0,500,63.891587
-500.0,500,64.261287
-500.0,500,64.697935
-500.0,500,65.036604
-500.0,500,65.351093
-500.0,500,65.655383
-500.0,500,66.052712
-500.0,500,66.357578
