# {"t_start": 1553045132.1105466, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.176657
-500.0,500,2.926812
-500.0,500,4.234447
-500.0,500,4.980932
-500.0,500,5.747452
-500.0,500,6.356331
-500.0,500,7.092155
-500.0,500,7.687505
-500.0,500,8.449758
-500.0,500,9.023468
-500.0,500,9.52729
-500.0,500,9.908906
-500.0,500,10.410893
-500.0,500,10.789848
-500.0,500,11.281289
-500.0,500,11.663554
-500.0,500,12.154134
-500.0,500,12.525376
-500.0,500,13.005706
-500.0,500,13.34574
-500.0,500,13.793758
-500.0,500,14.115386
-500.0,500,14.563491
-500.0,500,14.893757
-500.0,500,15.309892
-500.0,500,15.644979
-500.0,500,16.070673
-500.0,500,16.403013
-500.0,500,16.838938
-500.0,500,17.163613
-500.0,500,17.595428
-500.0,500,17.928946
-500.0,500,18.354208
-500.0,500,18.676226
-500.0,500,19.101329
-500.0,500,19.43242
-500.0,500,19.869273
-500.0,500,20.220763
-500.0,500,20.660629
-440.0,441,20.944055
-500.0,500,21.267545
-500.0,500,21.69233
-500.0,500,22.016428
-500.0,500,22.452667
-500.0,500,22.798697
-500.0,500,23.230673
-500.0,500,23.563576
-500.0,500,23.999645
-500.0,500,24.340072
-500.0,500,24.759839
-500.0,500,25.083771
-500.0,500,25.839314
-500.0,500,26.422094
-500.0,500,27.171862
-500.0,500,27.770143
-500.0,500,28.54727
-500.0,500,29.120425
-500.0,500,29.616814
-500.0,500,29.994354
-500.0,500,30.479287
-500.0,500,30.865228
-500.0,500,31.359842
-500.0,500,31.748853
-500.0,500,32.250125
-500.0,500,32.638063
-500.0,500,33.127358
-500.0,500,33.463333
-500.0,500,33.909481
-500.0,500,34.230291
-500.0,500,34.660732
-500.0,500,34.980293
-500.0,500,35.406768
-500.0,500,35.733454
-500.0,500,36.152058
-500.0,500,36.492936
-500.0,500,36.929549
-500.0,500,37.273188
-500.0,500,37.763849
-500.0,500,38.132827
-500.0,500,38.618302
-500.0,500,39.001277
-500.0,500,39.376215
-500.0,500,39.87335
-500.0,500,40.250274
-500.0,500,40.74218
-500.0,500,41.123443
-500.0,500,41.568714
-500.0,500,41.897713
