EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
500.0,-500.0,2,2,2.102220296859741,1000,0.0,1.0978637,0.0037648677825927734,0.0007915534,0.0070878286,0.0070878286
500.0,-500.0,2,4,3.813832998275757,2000,0.0,1.0973852,0.01591193675994873,0.00069967064,0.0069632726,0.0069632726
500.0,-500.0,2,6,5.202009439468384,3000,0.0,1.0974634,0.013861238956451416,0.0007141701,0.005825457,0.005825457
500.0,-500.0,2,8,6.5635552406311035,4000,0.0,1.0939202,0.032912492752075195,0.00074830087,0.0057415,0.0057415
500.0,-500.0,2,10,7.837228298187256,5000,0.0,1.0959018,0.014190137386322021,0.0006705369,0.004888122,0.004888122
500.0,-500.0,2,12,8.735361337661743,6000,0.0,1.0950863,0.004228770732879639,0.0007614158,0.006293433,0.006293433
500.0,-500.0,2,14,9.631081819534302,7000,0.0,1.0948157,0.027277708053588867,0.0008984758,0.007434399,0.007434399
500.0,-500.0,2,16,10.518496990203857,8000,0.0,1.0905476,0.032640933990478516,0.0007987189,0.006696479,0.006696479
500.0,-500.0,2,18,11.393614768981934,9000,0.0,1.0903536,0.033979952335357666,0.0008688914,0.006907302,0.006907302
500.0,-500.0,2,20,12.212430953979492,10000,0.0,1.0826694,0.03493070602416992,0.00084834616,0.007736399,0.007736399
500.0,-500.0,2,22,12.992553949356079,11000,0.0,1.0852145,0.02574610710144043,0.0006748451,0.005702558,0.005702558
500.0,-500.0,2,24,13.773791790008545,12000,0.0,1.0757096,0.06190568208694458,0.00061939936,0.0073858206,0.0073858206
500.0,-500.0,2,26,14.54275369644165,13000,0.0,1.0890856,0.0032012462615966797,0.0008649714,0.0067138993,0.0067138993
500.0,-500.0,2,28,15.324411392211914,14000,0.0,1.0845442,0.04046434164047241,0.0007541617,0.008620769,0.008620769
500.0,-500.0,2,30,16.103182792663574,15000,0.0,1.0772009,0.035012125968933105,0.0007027503,0.007409067,0.007409067
500.0,-500.0,2,32,16.87472367286682,16000,0.0,1.0892134,0.005285739898681641,0.00060159556,0.0070778145,0.0070778145
500.0,-500.0,2,34,17.63685941696167,17000,0.0,1.082292,0.038450419902801514,0.0007228896,0.00787851,0.00787851
500.0,-500.0,2,36,18.420252084732056,18000,0.0,1.0842562,0.0029433369636535645,0.0006241344,0.0060322387,0.0060322387
500.0,-500.0,2,38,19.229439973831177,19000,0.0,1.0919886,0.0007727742195129395,0.000578474,0.0062426147,0.0062426147
498.525,-498.5,3,41,19.991119623184204,20441,0.0,1.0765811,0.07674515247344971,0.0006920375,0.007481018,0.007481018
498.525,-498.5,2,43,20.759630918502808,21441,0.0,1.0914357,0.0016452670097351074,0.00075388944,0.007473779,0.007473779
498.525,-498.5,2,45,21.553734064102173,22441,0.0,1.0872587,0.014884769916534424,0.0007173142,0.006564894,0.006564894
498.525,-498.5,2,47,22.337798357009888,23441,0.0,1.0785501,0.00466388463973999,0.00074989116,0.00817387,0.00817387
498.525,-498.5,2,49,23.123310089111328,24441,0.0,1.0825742,0.04646533727645874,0.0009037452,0.008919172,0.008919172
498.525,-498.5,2,51,24.027454137802124,25441,0.0,1.0870249,0.0006074309349060059,0.0006556579,0.0050732745,0.0050732745
498.525,-498.5,2,53,25.397117614746094,26441,0.0,1.0814521,0.03739571571350098,0.0007410671,0.009252094,0.009252094
498.525,-498.5,2,55,26.76531744003296,27441,0.0,1.0662807,-0.0895376205444336,0.0008048989,0.009853057,0.009853057
498.525,-498.5,2,57,28.00821018218994,28441,0.0,1.0842588,7.236003875732422e-05,0.00061518484,0.00481727,0.00481727
498.525,-498.5,2,59,28.890125513076782,29441,0.0,1.0682421,0.14785444736480713,0.00077837374,0.008360099,0.008360099
498.525,-498.5,2,61,29.790215015411377,30441,0.0,1.0818464,-3.910064697265625e-05,0.000898757,0.0063865804,0.0063865804
498.525,-498.5,2,63,30.695682287216187,31441,0.0,1.0796452,1.150369644165039e-05,0.0006844664,0.0070987483,0.0070987483
