# {"t_start": 1553041069.542674, "env_id": "CartPole-v1"} 
r,l,t
15.0,15,0.932864
17.0,17,0.943951
11.0,11,0.949816
12.0,12,0.95646
30.0,30,0.971792
11.0,11,0.979133
68.0,68,1.013757
23.0,23,1.025019
18.0,18,1.038758
16.0,16,1.047982
21.0,21,1.063065
37.0,37,1.091725
24.0,24,1.108578
20.0,20,1.124763
37.0,37,1.15218
12.0,12,1.159507
16.0,16,1.172711
23.0,23,1.190966
28.0,28,1.211802
14.0,14,1.223739
25.0,25,1.241199
28.0,28,1.259389
13.0,13,1.270008
32.0,32,1.289802
10.0,10,1.294922
21.0,21,1.310146
13.0,13,1.320619
14.0,14,1.32914
17.0,17,1.342038
37.0,37,1.362457
37.0,37,1.380152
58.0,58,1.41208
15.0,15,1.419518
17.0,17,1.427612
19.0,19,1.436637
16.0,16,1.444303
62.0,62,1.473945
11.0,11,1.479136
12.0,12,1.485793
16.0,16,1.495481
72.0,72,1.53646
24.0,24,1.633584
11.0,11,1.662596
19.0,19,1.714974
15.0,15,1.756112
18.0,18,1.806802
17.0,17,1.853605
19.0,19,1.90672
18.0,18,1.958474
11.0,11,1.989458
13.0,13,2.024953
14.0,14,2.0638
11.0,11,2.093799
29.0,29,2.171398
26.0,26,2.241587
11.0,11,2.500505
12.0,12,2.533238
25.0,25,2.599231
20.0,20,2.651529
9.0,9,2.676421
33.0,33,2.763841
19.0,19,2.81179
42.0,42,2.926031
25.0,25,2.992314
19.0,19,3.043693
19.0,19,3.095576
27.0,27,3.171353
17.0,17,3.217421
30.0,30,3.300234
17.0,17,3.344768
13.0,13,3.381045
32.0,32,3.466402
14.0,14,3.5033
13.0,13,3.538066
21.0,21,3.594731
18.0,18,3.644291
15.0,15,3.685433
25.0,25,3.753446
33.0,33,3.844138
13.0,13,3.881463
22.0,22,3.944824
22.0,22,4.008728
34.0,34,4.108418
18.0,18,4.161043
12.0,12,4.200454
12.0,12,4.234365
12.0,12,4.26795
37.0,37,4.375777
16.0,16,4.421925
10.0,10,4.450732
19.0,19,4.505377
13.0,13,4.54315
14.0,14,4.58396
12.0,12,4.618735
32.0,32,4.705971
14.0,14,4.744246
10.0,10,4.772112
32.0,32,4.860746
24.0,24,4.927826
45.0,45,5.051028
21.0,21,5.108173
38.0,38,5.214402
21.0,21,5.275365
29.0,29,5.358799
11.0,11,5.390507
11.0,11,5.42225
37.0,37,5.528456
12.0,12,5.562935
28.0,28,5.643252
13.0,13,5.680784
33.0,33,5.773279
17.0,17,5.821835
19.0,19,5.877117
35.0,35,5.979561
15.0,15,6.022854
19.0,19,6.078115
13.0,13,6.115689
13.0,13,6.154111
16.0,16,6.201094
20.0,20,6.258598
19.0,19,6.31233
22.0,22,6.375085
27.0,27,6.451901
24.0,24,6.521496
26.0,26,6.595161
27.0,27,6.672538
19.0,19,6.727444
64.0,64,6.910203
23.0,23,6.975736
14.0,14,7.016006
37.0,37,7.117685
11.0,11,7.147295
19.0,19,7.198809
28.0,28,7.275097
35.0,35,7.366444
22.0,22,7.426934
23.0,23,7.49193
43.0,43,7.613711
11.0,11,7.646579
11.0,11,7.678113
38.0,38,7.78367
22.0,22,7.846292
26.0,26,7.919788
11.0,11,7.950811
61.0,61,8.124045
18.0,18,8.174923
17.0,17,8.222975
50.0,50,8.36192
27.0,27,8.437077
10.0,10,8.464105
40.0,40,8.576175
35.0,35,8.67454
18.0,18,8.724851
17.0,17,8.774439
29.0,29,8.857423
14.0,14,8.902829
21.0,21,8.964403
47.0,47,9.094022
42.0,42,9.209626
13.0,13,9.245941
24.0,24,9.312759
15.0,15,9.3545
19.0,19,9.406115
27.0,27,9.480155
32.0,32,9.566512
15.0,15,9.606888
66.0,66,9.790466
42.0,42,9.911333
18.0,18,9.967738
11.0,11,9.998775
29.0,29,10.107873
27.0,27,10.224354
16.0,16,10.29243
25.0,25,10.383475
14.0,14,10.430196
41.0,41,10.567877
24.0,24,10.638225
14.0,14,10.681209
18.0,18,10.741565
32.0,32,10.835621
18.0,18,10.886868
19.0,19,10.940073
22.0,22,11.002084
33.0,33,11.106759
14.0,14,11.151357
33.0,33,11.247864
14.0,14,11.288994
24.0,24,11.358279
14.0,14,11.399525
62.0,62,11.570074
16.0,16,11.614957
19.0,19,11.669801
10.0,10,11.699309
9.0,9,11.723924
13.0,13,11.760112
15.0,15,11.803481
41.0,41,11.923255
10.0,10,11.95006
41.0,41,12.068566
41.0,41,12.188707
26.0,26,12.26437
11.0,11,12.29414
17.0,17,12.352591
22.0,22,12.414497
14.0,14,12.451845
19.0,19,12.511203
14.0,14,12.551577
24.0,24,12.626361
13.0,13,12.665594
13.0,13,12.702941
10.0,10,12.736618
32.0,32,12.834316
28.0,28,12.913346
17.0,17,12.968506
19.0,19,13.022855
19.0,19,13.093804
9.0,9,13.133666
19.0,19,13.189164
23.0,23,13.254321
