% time spent exploring,episodes,mean 100 episode reward,steps
97,100,21.5,2129
95,200,24.6,4592
93,300,24.6,7047
90,400,24.2,9466
88,500,20.8,11548
86,600,20.3,13582
83,700,28.4,16420
81,800,29.3,19351
78,900,27.4,22094
75,1000,24.7,24567
73,1100,24.1,26973
71,1200,21.8,29157
68,1300,24.8,31635
64,1400,49.0,36537
61,1500,24.3,38967
60,1600,18.0,40768
57,1700,24.0,43172
52,1800,52.0,48369
49,1900,26.7,51035
47,2000,30.3,54062
45,2100,19.6,56017
42,2200,22.9,58308
38,2300,39.5,62259
34,2400,41.4,66400
31,2500,38.1,70213
23,2600,79.9,78205
17,2700,57.8,83983
10,2800,72.4,91223
2,2900,80.1,99236
2,3000,93.7,108602
2,3100,95.1,118112
2,3200,220.1,140123
2,3300,260.7,166191
2,3400,155.1,181704
2,3500,246.2,206322
2,3600,211.7,227495
2,3700,433.0,270794
2,3800,220.1,292805
2,3900,272.4,320043
2,4000,224.3,342474
2,4100,179.1,360388
2,4200,200.3,380419
2,4300,264.1,406825
2,4400,263.2,433146
2,4500,287.9,461934
2,4600,295.2,491451
2,4700,223.4,513794
2,4800,172.4,531034
2,4900,310.1,562040
2,5000,236.4,585680
2,5100,339.2,619596
2,5200,344.5,654046
2,5300,291.4,683182
2,5400,321.8,715366
2,5500,256.2,740983
2,5600,382.5,779229
2,5700,318.9,811116
2,5800,309.1,842026
2,5900,348.8,876906
2,6000,260.5,902952
2,6100,212.5,924199
2,6200,227.8,946983
2,6300,264.2,973408
2,6400,192.4,992653
