# {"t_start": 1553040454.0211222, "env_id": "CartPole-v1"} 
r,l,t
37.0,37,1.125244
23.0,23,1.136104
11.0,11,1.141162
15.0,15,1.148513
22.0,22,1.160561
17.0,17,1.168225
25.0,25,1.178834
10.0,10,1.183829
21.0,21,1.192164
16.0,16,1.198096
30.0,30,1.209235
39.0,39,1.229469
20.0,20,1.238368
13.0,13,1.245791
34.0,34,1.259428
21.0,21,1.267482
23.0,23,1.279007
22.0,22,1.287503
19.0,19,1.294595
25.0,25,1.305895
24.0,24,1.316688
17.0,17,1.32317
21.0,21,1.333012
15.0,15,1.341466
18.0,18,1.350696
20.0,20,1.361186
21.0,21,1.372041
27.0,27,1.386216
11.0,11,1.39185
10.0,10,1.398102
14.0,14,1.405961
17.0,17,1.415992
17.0,17,1.424799
51.0,51,1.451172
17.0,17,1.4599
21.0,21,1.470933
34.0,34,1.486831
12.0,12,1.493247
44.0,44,1.51506
13.0,13,1.521361
15.0,15,1.528978
11.0,11,1.534481
13.0,13,1.540869
11.0,11,1.546332
16.0,16,1.554101
13.0,13,1.5605
12.0,12,1.566445
15.0,15,1.573771
17.0,17,1.582182
65.0,65,1.868216
24.0,24,1.881853
18.0,18,1.892274
28.0,28,1.906684
53.0,53,1.931015
25.0,25,1.9438
17.0,17,1.951567
11.0,11,1.95644
13.0,13,1.962316
10.0,10,1.96805
17.0,17,1.977158
39.0,39,1.994345
35.0,35,2.012192
13.0,13,2.01806
19.0,19,2.026477
42.0,42,2.047299
45.0,45,2.069087
9.0,9,2.073005
16.0,16,2.08111
26.0,26,2.095686
15.0,15,2.103171
51.0,51,2.12845
12.0,12,2.134898
24.0,24,2.146599
14.0,14,2.153332
28.0,28,2.168574
69.0,69,2.203694
19.0,19,2.213232
39.0,39,2.232675
32.0,32,2.249229
43.0,43,2.271285
12.0,12,2.277983
18.0,18,2.287295
23.0,23,2.300843
21.0,21,2.311252
14.0,14,2.317741
12.0,12,2.323265
28.0,28,2.335901
14.0,14,2.342287
27.0,27,2.355018
13.0,13,2.36098
31.0,31,2.475582
26.0,26,2.48885
