EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
20.225,20.225,49,49,0.763037919998169,990,0.0,0.6922933,-0.00039708614349365234,0.00084294006,0.006454352,0.006454352
24.7,24.7,41,90,1.3722553253173828,2043,0.0,0.6894896,-0.009508490562438965,0.0011274854,0.0076737413,0.0076737413
25.7,25.7,39,129,2.0181987285614014,3058,0.0,0.6846355,-0.016337156295776367,0.0010055546,0.0059833047,0.0059833047
35.6,35.6,28,157,2.691610336303711,4096,0.0,0.67995083,-0.009082913398742676,0.0008904218,0.007055107,0.007055107
40.9,40.9,24,181,3.3161325454711914,5078,0.0,0.67401296,-0.0015079975128173828,0.000900049,0.006383002,0.006383002
32.375,32.375,31,212,3.928184986114502,6101,0.0,0.6632987,0.00024336576461791992,0.00090723444,0.0077762324,0.0077762324
41.675,41.675,20,232,4.60521388053894,7116,0.0,0.65705156,0.003378629684448242,0.00087538874,0.0075512077,0.0075512077
56.575,56.575,15,247,5.731785774230957,8119,0.0,0.6516766,0.003571629524230957,0.0009374921,0.005700415,0.005700415
68.625,68.625,12,259,6.950226783752441,9125,0.0,0.64206856,0.016269683837890625,0.00084904616,0.006271337,0.006271337
74.95,74.95,14,273,8.076201677322388,10209,0.0,0.6357017,-0.009819984436035156,0.00091877,0.006821797,0.006821797
84.175,84.175,9,282,9.078146934509277,11167,0.0,0.63214177,0.0010396242141723633,0.00058348465,0.0040313182,0.0040313182
88.675,88.675,11,293,9.990933418273926,12109,0.0,0.6232821,0.006705939769744873,0.00075449666,0.0077559454,0.0077559454
94.125,94.125,11,304,10.935472965240479,13287,0.0,0.6149299,-0.0023676156997680664,0.00096794614,0.009754371,0.009754371
103.225,103.225,8,312,11.925970315933228,14229,0.0,0.6205205,0.020535588264465332,0.0007383062,0.005472631,0.005472631
116.35,116.35,4,316,12.778672456741333,15065,0.0,0.6177967,-0.004557371139526367,0.00087085896,0.006698638,0.006698638
122.175,122.175,7,323,13.39686369895935,16237,0.0,0.6185868,0.014785945415496826,0.0008408859,0.005303541,0.005303541
134.9,134.9,9,332,14.019591808319092,17387,0.0,0.595605,-0.002785921096801758,0.00083267444,0.0067055924,0.0067055924
138.075,138.075,6,338,14.677513122558594,18362,0.0,0.6150277,-0.0020753145217895508,0.00094728294,0.006752973,0.006752973
152.725,152.725,6,344,15.359441757202148,19396,0.0,0.5948839,-0.0027431249618530273,0.0008231624,0.0057130246,0.0057130246
163.25,163.25,4,348,16.02189803123474,20283,0.0,0.599673,-0.002611994743347168,0.0009026169,0.006901248,0.006901248
172.875,172.875,5,353,16.67590641975403,21487,0.0,0.60376954,-0.002826690673828125,0.0006386833,0.0038011316,0.0038011316
173.85,173.85,4,357,17.246565341949463,22319,0.0,0.60594225,-0.0017620325088500977,0.00090137194,0.004638078,0.004638078
182.4,182.4,5,362,17.827067852020264,23506,0.0,0.5939343,0.0015132427215576172,0.0006945698,0.0071255416,0.0071255416
193.875,193.875,5,367,18.408074617385864,24452,0.0,0.59886384,-0.0013818740844726562,0.0007720983,0.0057392484,0.0057392484
203.175,203.175,5,372,18.99653911590576,25514,0.0,0.6105108,-0.0015919208526611328,0.0005972308,0.0052275965,0.0052275965
215.35,215.35,2,374,19.591431140899658,26387,0.0,0.6016556,0.007248640060424805,0.0008863803,0.008177892,0.008177892
234.125,234.125,3,377,20.193482398986816,27546,0.0,0.59973943,0.0061095356941223145,0.0006418787,0.0058973595,0.0058973595
250.625,250.625,3,380,20.807310581207275,28611,0.0,0.59508526,-0.0010561943054199219,0.0006801417,0.0061132405,0.0061132405
254.05,254.05,3,383,21.49930715560913,29387,0.0,0.6080106,0.0002663731575012207,0.0008869176,0.0065581854,0.0065581854
259.925,259.925,3,386,22.152453184127808,30281,0.0,0.59819174,0.0007006525993347168,0.00068286184,0.008858432,0.008858432
268.775,268.775,4,390,22.776292085647583,31662,0.0,0.5862896,-8.45193862915039e-05,0.0005287039,0.006201409,0.006201409
279.575,279.575,3,393,23.398980140686035,32670,0.0,0.60709196,-0.00027000904083251953,0.00071791455,0.0063383933,0.0063383933
