# {"t_start": 1553049579.0173738, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-92.76263,999,0.955945
-103.922774,999,1.400703
-94.55098,999,1.903967
-95.665756,999,2.249409
-102.556016,999,2.652347
-97.085305,999,2.996116
-103.147394,999,3.48233
-91.609479,999,3.923139
-99.029246,999,4.345742
-92.637426,999,4.688619
-95.320201,999,5.169827
-96.477981,999,5.521075
-91.813824,999,5.925915
-94.849125,999,6.268157
-95.401222,999,6.671858
-98.342714,999,7.01495
-98.422236,999,7.428615
-100.585161,999,7.772478
-90.330939,999,8.181906
-96.239184,999,8.524304
-88.566331,999,8.929019
-95.323129,999,9.271447
-95.704209,999,9.673793
-94.193889,999,10.016246
-95.904285,999,10.418669
-86.914315,999,10.760912
-95.742371,999,11.161248
-96.579744,999,11.502663
-96.649443,999,11.909302
-91.72399,999,12.262095
-85.703512,999,12.663496
-94.817028,999,13.008817
-93.990949,999,13.412177
-85.004834,999,13.756529
-90.203868,999,14.159671
-96.89498,999,14.510643
-82.355386,999,14.914087
-80.83669,999,15.257315
-80.74555,999,15.665776
-84.608766,999,16.008647
-81.577011,999,16.351398
-84.366924,999,16.756826
-84.794818,999,17.100892
-79.789877,999,17.509512
-89.893778,999,17.852919
-85.682996,999,18.269329
-89.36862,999,18.613646
-85.196337,999,19.022743
-83.911018,999,19.366375
-88.479108,999,19.771026
-78.479945,999,20.11407
-86.835819,999,20.521813
-89.389524,999,20.864081
-82.541447,999,21.310012
-81.729675,999,21.750049
-82.235218,999,22.172619
-82.169698,999,22.515774
-78.778509,999,22.917617
-82.594557,999,23.258855
-86.008101,999,23.663405
16.489201,985,23.998719
-84.027407,999,24.448999
-81.998771,999,24.889854
-76.373445,999,25.395445
-80.079746,999,25.803926
-80.615533,999,26.215285
-80.387096,999,26.556209
-80.447271,999,26.989581
-79.027226,999,27.429456
-80.130485,999,27.936647
-75.268171,999,28.326602
-70.862057,999,28.747934
-77.692073,999,29.129104
-77.127721,999,29.546758
-73.481506,999,29.927619
-75.469874,999,30.329646
-67.469608,999,30.670402
-74.958747,999,31.070496
-76.114051,999,31.411727
-75.835087,999,31.81725
-73.562517,999,32.258418
-73.638278,999,32.697068
-72.151435,999,33.197703
-71.899486,999,33.638092
-73.249512,999,34.046609
-76.09937,999,34.385595
-72.61989,999,34.872888
-74.000446,999,35.275033
-69.274476,999,35.685135
-73.323073,999,36.02519
-68.281517,999,36.503725
-68.919345,999,36.945787
-67.77368,999,37.376203
-68.303938,999,37.72285
-71.586841,999,38.137008
-66.640239,999,38.478479
32.913565,986,38.876335
-68.309753,999,39.220342
-65.729914,999,39.624762
-72.341922,999,39.968485
-65.786164,999,40.374624
-65.164317,999,40.717692
-70.187815,999,41.127971
-71.809129,999,41.471419
-68.676399,999,41.876657
-63.633172,999,42.230211
-64.238977,999,42.640352
-61.789707,999,42.983285
-59.052863,999,43.410527
52.848637,679,43.643209
-65.129699,999,43.985587
-64.905653,999,44.448885
-65.031764,999,44.79224
-64.517578,999,45.195198
-70.339046,999,45.536913
-62.836042,999,45.961719
-64.006235,999,46.304247
-60.204569,999,46.707376
-64.478897,999,47.050104
-68.696635,999,47.520165
-62.030702,999,47.867101
-60.792251,999,48.271648
-60.533196,999,48.615189
-63.564052,999,49.024345
-63.973917,999,49.366686
-56.276313,999,49.815312
-59.566618,999,50.157909
-61.155326,999,50.565986
-58.569639,999,50.909388
56.547817,695,51.229792
-58.299268,999,51.67104
-59.935348,999,52.079225
-62.00655,999,52.422796
-56.470836,999,52.826591
-56.501178,999,53.174824
-61.856502,999,53.577991
-56.005685,999,53.922008
-58.360213,999,54.27281
-53.02317,999,54.69104
-58.169895,999,55.038158
-58.491255,999,55.455182
-57.634998,999,55.800208
-58.261028,999,56.207861
-54.593734,999,56.551655
-57.377634,999,56.961363
-56.133662,999,57.304456
-53.353023,999,57.771507
-52.182387,999,58.114548
-53.968466,999,58.518247
-48.908385,999,58.861502
-48.947839,999,59.264869
-48.064803,999,59.607591
-53.070823,999,60.020068
-54.03771,999,60.364295
-53.8773,999,60.769703
-50.822577,999,61.112472
-53.779973,999,61.567762
-50.983701,999,61.951119
-51.352009,999,62.354523
-49.256916,999,62.697834
-48.542514,999,63.101026
-52.006801,999,63.442171
-56.450922,999,63.880251
-50.302518,999,64.321324
-49.443413,999,64.797672
-47.185047,999,65.138612
-49.8601,999,65.546505
-44.116291,999,65.887752
-47.936133,999,66.291076
-47.235039,999,66.631988
-49.729239,999,67.052095
-48.546892,999,67.494006
-51.818839,999,67.996006
-49.318363,999,68.337559
-48.48199,999,68.747191
-44.414286,999,69.109325
-46.545633,999,69.51388
-48.924088,999,69.884548
-47.941573,999,70.231328
-45.079021,999,70.644767
-47.012909,999,70.993729
-46.623787,999,71.402532
-48.175788,999,71.747499
-45.163233,999,72.199012
-46.080449,999,72.545767
-43.640712,999,72.962025
-46.415981,999,73.306679
-45.327184,999,73.709635
-44.754477,999,74.060305
-47.067078,999,74.463998
-47.932629,999,74.807397
-47.108282,999,75.219192
-46.372027,999,75.562376
-48.558433,999,75.974905
-44.417003,999,76.320655
-43.21642,999,76.727232
-42.562976,999,77.073129
-45.998214,999,77.486532
-42.961237,999,77.830241
-44.319262,999,78.235467
-42.915218,999,78.578604
-43.442886,999,79.026361
-39.917835,999,79.472962
-44.400994,999,79.978362
-38.538637,999,80.429309
-38.521504,999,80.909707
-41.195406,999,81.278544
-42.689014,999,81.694873
-42.207655,999,82.043149
-44.003349,999,82.455755
-39.28016,999,82.800617
-37.465737,999,83.209799
-42.519919,999,83.554306
-41.80714,999,83.956923
-42.854996,999,84.301968
-39.978873,999,84.712258
-36.476853,999,85.05686
-37.797675,999,85.461359
-38.344763,999,85.855005
-39.32866,999,86.199337
-39.511355,999,86.602705
-37.911252,999,86.94589
-39.554313,999,87.350061
-40.043142,999,87.693968
-37.143867,999,88.160657
-40.747561,999,88.502928
-35.773472,999,88.91256
-37.324745,999,89.257225
-36.505353,999,89.700047
-40.594013,999,90.042784
-37.892632,999,90.448617
-37.432318,999,90.79351
-39.279446,999,91.267544
-36.432894,999,91.709774
-35.402899,999,92.119645
-35.343677,999,92.463051
-37.643453,999,92.866918
-37.794152,999,93.21019
-34.647946,999,93.667598
-35.295104,999,94.043961
-35.179468,999,94.449163
-35.381625,999,94.791485
-36.495162,999,95.239489
-37.879509,999,95.683481
-34.290835,999,96.179654
-34.049927,999,96.530509
-35.381335,999,96.934381
-35.99846,999,97.28132
-35.341411,999,97.695213
-34.309569,999,98.039254
-34.932781,999,98.441976
-32.744661,999,98.785402
-34.111371,999,99.194202
-34.46004,999,99.543169
-31.52282,999,99.941883
-31.629286,999,100.2855
-32.004429,999,100.686885
-32.265338,999,101.033693
-35.618812,999,101.444297
-33.562387,999,101.793668
-32.561759,999,102.1398
-32.373859,999,102.544933
-32.241928,999,102.887432
-34.13507,999,103.29144
-33.049171,999,103.633891
-29.232331,999,104.045444
-32.452336,999,104.391167
-29.451401,999,104.793321
-29.963367,999,105.132915
-30.643699,999,105.534656
-33.066916,999,105.873554
-29.593756,999,106.280526
-28.467881,999,106.624776
-30.722613,999,107.035209
-28.858271,999,107.379029
-31.361052,999,107.77991
-28.861379,999,108.124146
-30.272533,999,108.533581
-29.431095,999,108.872057
-28.376761,999,109.323044
-30.669999,999,109.757365
-29.848901,999,110.155439
-32.293119,999,110.492143
-30.220026,999,110.930093
-28.007438,999,111.367143
-29.113373,999,111.82398
-28.498633,999,112.161059
-29.643313,999,112.559891
-30.110183,999,112.896065
-28.619268,999,113.322842
-28.765039,999,113.673132
-29.771555,999,114.070193
-27.197925,999,114.408193
-29.206756,999,114.808492
-30.359097,999,115.144932
-26.656841,999,115.54243
-28.038191,999,115.879822
-28.055126,999,116.281269
-29.10548,999,116.690064
-25.944007,999,117.193375
-28.252012,999,117.63103
-29.394142,999,118.017284
