# {"t_start": 1553049964.238482, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-104.506572,999,1.585195
-87.208103,999,2.298082
-88.561643,999,2.858595
-94.873293,999,3.40609
-83.091538,999,3.967114
-78.226855,999,4.520414
-72.418784,999,5.075621
-77.379441,999,5.627823
-73.45044,999,6.18452
31.917423,976,6.731907
-65.972644,999,7.285077
-61.822219,999,7.835647
-62.189424,999,8.390109
-61.296043,999,8.938795
-59.943701,999,9.495452
-60.78409,999,10.041778
-59.802982,999,10.59838
-46.723224,999,11.157809
-51.976986,999,11.730819
-51.716512,999,12.294785
-46.116534,999,12.859821
-43.827104,999,13.406905
-42.447774,999,13.966466
-39.901276,999,14.520406
-35.62561,999,15.075495
-37.560541,999,15.632198
-37.85746,999,16.187081
-35.938488,999,16.744796
-31.987899,999,17.313118
-28.734478,999,17.867554
-30.91224,999,18.438028
-27.344261,999,18.995398
-26.230758,999,19.569347
-24.819705,999,20.124919
-27.163067,999,20.690717
-24.98704,999,21.248558
-25.070169,999,21.805333
-21.543909,999,22.361363
-20.867497,999,22.920171
-21.576822,999,23.474803
-20.299964,999,23.94408
-18.569641,999,24.517864
-19.219639,999,25.08231
-16.861338,999,25.636053
-16.334203,999,26.203577
-15.665513,999,26.773807
-14.103489,999,27.342841
-15.885481,999,27.894887
-14.077604,999,28.452417
-13.911778,999,29.00832
-13.120961,999,29.573244
-12.168201,999,30.134614
-11.898953,999,30.687384
-11.330702,999,31.258377
-11.853671,999,31.822782
-11.010292,999,32.376123
-10.764385,999,32.937069
-10.583667,999,33.500675
-10.083981,999,34.069638
-8.577815,999,34.636286
-9.694123,999,35.210376
-8.490006,999,35.782086
-8.126107,999,36.3494
-8.018611,999,36.9108
-7.456826,999,37.478114
-8.160096,999,38.04514
-7.196536,999,38.602727
-6.725278,999,39.171001
-6.715504,999,39.730691
-5.772556,999,40.293981
-5.756253,999,40.856111
-5.447953,999,41.422638
-5.170749,999,41.976712
-4.839142,999,42.538665
-5.251048,999,43.10218
-5.107158,999,43.669807
-4.175489,999,44.253389
-3.965392,999,44.82238
-3.877491,999,45.392018
-3.933381,999,45.959329
-3.825544,999,46.431268
-3.536913,999,47.004834
-3.495109,999,47.576078
-3.401464,999,48.159196
-3.394734,999,48.747577
-3.124936,999,49.310192
-2.852196,999,49.873818
-2.864571,999,50.436903
-2.671614,999,51.011203
-2.402231,999,51.572213
-2.369663,999,52.136783
-2.442613,999,52.696569
-2.139655,999,53.254256
-2.038722,999,53.816543
-2.149626,999,54.373197
-1.879293,999,54.946706
-1.723481,999,55.530838
-2.013806,999,56.096763
-1.756513,999,56.66604
-1.777371,999,57.227367
-1.653406,999,57.818255
-1.487578,999,58.38057
-1.444617,999,58.943892
-1.436946,999,59.52188
-1.385308,999,60.112395
-1.264069,999,60.694091
-1.327094,999,61.256428
-1.253528,999,61.829354
-1.203305,999,62.396144
-1.203868,999,62.975324
-1.0638,999,63.565243
-1.061362,999,64.158201
-1.069957,999,64.722929
-0.939465,999,65.288861
-0.940602,999,65.875796
-0.850288,999,66.445695
-0.824321,999,67.010515
-0.737368,999,67.56708
-0.748363,999,68.124785
-0.723345,999,68.680712
-0.732682,999,69.242851
-0.671786,999,69.713266
-0.657031,999,70.275425
-0.652368,999,70.840633
-0.591154,999,71.402933
-0.60487,999,71.961023
-0.516315,999,72.528203
-0.533789,999,73.094315
-0.571965,999,73.658049
-0.552744,999,74.220891
-0.541322,999,74.793281
-0.527695,999,75.359734
-0.440261,999,75.922575
-0.445765,999,76.484454
-0.445594,999,77.044852
-0.425401,999,77.616855
-0.432535,999,78.184013
-0.391637,999,78.743232
-0.388609,999,79.307624
-0.366997,999,79.870588
-0.35872,999,80.43374
-0.32613,999,80.991053
-0.326221,999,81.550029
-0.292109,999,82.109216
-0.317466,999,82.673181
-0.30826,999,83.260441
-0.316743,999,83.851575
-0.298291,999,84.429416
-0.2892,999,84.98287
-0.263636,999,85.556667
-0.280924,999,86.122008
-0.260962,999,86.692717
-0.250292,999,87.260337
-0.21643,999,87.8285
-0.254763,999,88.399891
-0.200009,999,88.957581
-0.206772,999,89.529376
-0.194495,999,90.102479
-0.192442,999,90.673537
-0.203018,999,91.243267
-0.187119,999,91.809235
-0.200924,999,92.367762
-0.172795,999,92.841665
-0.172845,999,93.407044
-0.196575,999,93.96799
-0.168491,999,94.53031
-0.289898,999,95.091621
-0.184163,999,95.656143
-0.151512,999,96.224558
-0.215286,999,96.78406
-0.156488,999,97.343606
-0.307,999,97.905243
-0.13861,999,98.474231
-0.307115,999,99.037017
-0.127062,999,99.601399
-0.126478,999,100.156884
-0.160271,999,100.720311
-0.26872,999,101.278153
-0.285325,999,101.848355
-0.114834,999,102.412404
-0.237897,999,102.980112
-0.137074,999,103.540071
-0.132145,999,104.111489
-0.123495,999,104.676715
-0.124561,999,105.232204
-0.100294,999,105.795267
-0.095589,999,106.360498
-0.231062,999,106.925104
-0.192718,999,107.493295
-0.087903,999,108.057674
-0.122524,999,108.622322
-0.085318,999,109.182237
-0.097366,999,109.748825
-0.131064,999,110.309311
-0.083727,999,110.873657
-0.124205,999,111.43143
-0.088568,999,111.994567
-0.086164,999,112.554961
-0.07628,999,113.116953
-0.068746,999,113.676066
-0.072223,999,114.249004
-0.080546,999,114.817986
-0.066159,999,115.386789
-0.065338,999,115.855027
-0.052401,999,116.416485
-0.067183,999,116.980318
-0.051439,999,117.543591
-0.074448,999,118.110135
-0.063277,999,118.678402
-0.051888,999,119.253556
-0.077183,999,119.812886
-0.054529,999,120.372604
-0.053377,999,120.93544
-0.061702,999,121.497506
-0.057609,999,122.053587
-0.071668,999,122.617079
-0.045497,999,123.184732
-0.047991,999,123.745063
-0.044011,999,124.326757
-0.044884,999,124.89965
-0.039492,999,125.464604
-0.045458,999,126.059799
-0.03525,999,126.641345
-0.035709,999,127.221294
-0.034088,999,127.801202
-0.034256,999,128.393858
-0.031028,999,128.958057
-0.028407,999,129.515918
-0.034787,999,130.097908
-0.028684,999,130.676376
-0.030944,999,131.253268
-0.0252,999,131.834587
-0.027154,999,132.397005
-0.025423,999,132.96038
-0.025638,999,133.526876
-0.029216,999,134.109815
-0.025444,999,134.706254
-0.025727,999,135.314734
-0.0215,999,135.901542
-0.022837,999,136.496678
-0.023748,999,137.057378
-0.020641,999,137.631114
-0.018905,999,138.192714
-0.030436,999,138.787328
