# {"t_start": 1553033992.4741101, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,1.01967
-200.0,200,1.144928
-200.0,200,1.264897
-200.0,200,1.379384
-200.0,200,1.502146
-200.0,200,2.147708
-200.0,200,2.738285
-200.0,200,3.342971
-200.0,200,3.961164
-200.0,200,4.922898
-200.0,200,5.902786
-200.0,200,6.881924
-200.0,200,7.846933
-200.0,200,8.490119
-200.0,200,9.136803
-200.0,200,9.786231
-200.0,200,10.436286
-200.0,200,11.081775
-200.0,200,11.733984
-200.0,200,12.365286
-200.0,200,12.984361
-200.0,200,13.589159
-200.0,200,14.231602
-200.0,200,14.840514
-200.0,200,15.452063
-200.0,200,16.069992
-200.0,200,16.683209
-200.0,200,17.291013
-200.0,200,17.892426
-200.0,200,18.491855
-200.0,200,19.097134
-200.0,200,19.715675
-200.0,200,20.323278
-200.0,200,20.916145
-200.0,200,21.514708
-200.0,200,22.13523
-200.0,200,22.741045
-200.0,200,23.340013
-200.0,200,23.960373
-200.0,200,24.562418
-200.0,200,25.203623
-200.0,200,25.906089
-200.0,200,26.489653
-200.0,200,27.111194
-200.0,200,27.725565
-200.0,200,28.312393
-200.0,200,28.857491
-200.0,200,29.447397
-200.0,200,30.126702
-200.0,200,30.723699
-200.0,200,31.349026
-200.0,200,31.992482
-200.0,200,32.615422
-200.0,200,33.180447
-200.0,200,33.754444
-200.0,200,34.304035
-200.0,200,34.885927
-200.0,200,35.463684
-200.0,200,36.079179
-200.0,200,36.682265
-200.0,200,37.287981
-200.0,200,37.929396
-200.0,200,38.596887
-200.0,200,39.369411
-200.0,200,40.007143
-200.0,200,40.652689
-200.0,200,41.300542
-200.0,200,42.010081
-200.0,200,42.628519
-200.0,200,43.272009
-200.0,200,43.887694
-200.0,200,44.552748
-200.0,200,45.158635
-200.0,200,45.751484
-200.0,200,46.339556
-200.0,200,46.99815
-200.0,200,47.564786
-200.0,200,48.14619
-200.0,200,48.722666
-200.0,200,49.29705
-200.0,200,49.982252
-200.0,200,50.676332
-200.0,200,51.322018
-200.0,200,51.903223
-200.0,200,52.601362
-200.0,200,53.366561
-200.0,200,54.087633
-200.0,200,54.804975
-200.0,200,55.474747
-200.0,200,56.134423
-200.0,200,56.713445
-200.0,200,57.32472
-200.0,200,57.904136
-200.0,200,58.414491
-200.0,200,59.033781
-200.0,200,59.726943
-200.0,200,60.766685
-200.0,200,61.926579
-200.0,200,63.003858
-200.0,200,63.954033
-200.0,200,64.651519
-200.0,200,65.403621
-200.0,200,66.173191
-200.0,200,66.961286
-200.0,200,67.642577
-200.0,200,68.228133
-200.0,200,68.805074
-200.0,200,69.372154
-200.0,200,69.929128
-200.0,200,70.496451
-200.0,200,71.024431
-200.0,200,71.50269
-200.0,200,72.058266
-200.0,200,72.644421
-200.0,200,73.222758
-200.0,200,73.804028
-200.0,200,74.382887
-200.0,200,74.964559
-200.0,200,75.548452
-200.0,200,76.124422
-200.0,200,76.690308
-200.0,200,77.261841
-200.0,200,77.829393
-200.0,200,78.397659
-200.0,200,78.967637
-200.0,200,79.541384
-200.0,200,80.087863
-200.0,200,80.642818
-200.0,200,81.207474
-200.0,200,81.771688
-200.0,200,82.34399
-200.0,200,82.914026
-200.0,200,83.475174
-200.0,200,84.041187
-200.0,200,84.600868
-200.0,200,85.184744
-200.0,200,85.807114
-200.0,200,86.436138
-200.0,200,87.046854
-200.0,200,87.798101
-200.0,200,88.590538
-200.0,200,89.356462
-200.0,200,89.981715
-200.0,200,90.619349
-200.0,200,91.334954
-200.0,200,92.176461
-200.0,200,93.386126
-200.0,200,94.443264
-200.0,200,95.437233
-200.0,200,96.303638
-200.0,200,97.077338
-200.0,200,97.762151
-200.0,200,98.439662
-200.0,200,99.148798
-200.0,200,99.878271
-200.0,200,100.962078
-200.0,200,101.999227
-200.0,200,103.048697
-200.0,200,104.040129
-200.0,200,104.771541
-200.0,200,105.500465
-200.0,200,106.28914
-200.0,200,107.065207
-200.0,200,107.801799
-200.0,200,108.833886
-200.0,200,109.90392
-200.0,200,110.967863
-200.0,200,111.98713
-200.0,200,112.711752
-200.0,200,113.438905
-200.0,200,114.166162
-200.0,200,114.902816
-200.0,200,115.62489
-200.0,200,116.569823
-200.0,200,117.635995
-200.0,200,118.704763
-200.0,200,119.774348
-200.0,200,120.545062
-200.0,200,121.266127
-200.0,200,121.992722
-200.0,200,122.71984
-200.0,200,123.445852
-200.0,200,124.301998
-200.0,200,125.368632
-200.0,200,126.426078
-200.0,200,127.458031
-200.0,200,128.307392
-200.0,200,129.011212
-200.0,200,129.79704
-200.0,200,130.59007
-200.0,200,131.402667
-200.0,200,132.189878
-200.0,200,132.934834
-200.0,200,133.682303
-200.0,200,134.373457
-200.0,200,135.031809
-200.0,200,135.684949
-200.0,200,136.36853
-200.0,200,137.08948
-200.0,200,137.80711
-200.0,200,138.536692
-200.0,200,139.315828
-200.0,200,140.037556
-200.0,200,140.73321
-200.0,200,141.460837
-200.0,200,142.223349
-200.0,200,142.932594
-200.0,200,143.582527
-200.0,200,144.25678
-200.0,200,144.981348
-200.0,200,145.702601
-200.0,200,146.418622
-200.0,200,147.166414
-200.0,200,147.860689
-200.0,200,149.107372
-200.0,200,150.367463
-200.0,200,151.773724
-200.0,200,152.858047
-200.0,200,153.917692
-200.0,200,154.988654
-200.0,200,156.021754
-200.0,200,156.744252
-200.0,200,157.473604
-200.0,200,158.204383
-200.0,200,158.924496
-200.0,200,159.640251
-200.0,200,160.551379
-200.0,200,161.607239
-200.0,200,162.665913
-200.0,200,163.719698
-200.0,200,164.509139
-200.0,200,165.201116
-200.0,200,165.900679
-200.0,200,166.602242
-200.0,200,167.3035
-200.0,200,168.045463
-200.0,200,169.089867
-200.0,200,170.130231
-200.0,200,171.154063
-200.0,200,172.167811
-200.0,200,173.000504
-200.0,200,173.746682
-200.0,200,174.444026
-200.0,200,175.157235
-200.0,200,175.859146
-200.0,200,176.473617
-200.0,200,177.084041
-200.0,200,177.690008
-200.0,200,178.315923
-200.0,200,179.006764
-200.0,200,179.719394
-200.0,200,180.439053
-200.0,200,181.135885
-200.0,200,181.865596
-200.0,200,182.513592
-200.0,200,183.149438
-200.0,200,183.811216
-200.0,200,184.527454
-200.0,200,185.232927
-200.0,200,185.947052
-200.0,200,186.637885
-200.0,200,187.333322
-200.0,200,187.966513
-200.0,200,188.595361
-200.0,200,189.256238
-200.0,200,189.947893
-200.0,200,190.604453
-200.0,200,191.268031
-200.0,200,191.92817
-200.0,200,192.977489
-200.0,200,194.030409
-200.0,200,195.099072
-200.0,200,196.099654
-200.0,200,196.830902
-200.0,200,197.555063
-200.0,200,198.286348
-200.0,200,199.013403
-200.0,200,199.741246
-200.0,200,200.461832
-200.0,200,201.118168
-200.0,200,201.769941
-200.0,200,202.420619
-200.0,200,203.066605
-200.0,200,203.718508
-200.0,200,204.48317
-200.0,200,205.284184
-200.0,200,206.08639
-200.0,200,206.819579
-200.0,200,207.544851
-200.0,200,208.48822
-200.0,200,209.770625
-200.0,200,211.058969
-200.0,200,212.316178
-200.0,200,213.471041
-200.0,200,214.62316
-200.0,200,215.659229
-200.0,200,216.458253
-200.0,200,217.162372
-200.0,200,217.868863
-200.0,200,218.570257
-200.0,200,219.257698
-200.0,200,219.942347
-200.0,200,220.911788
-200.0,200,221.930049
-200.0,200,222.945524
-200.0,200,223.965299
-200.0,200,224.658853
-200.0,200,225.334307
-200.0,200,226.004284
-200.0,200,226.674971
-200.0,200,227.349939
-200.0,200,228.028558
-200.0,200,228.635571
-200.0,200,229.242189
-200.0,200,229.848877
-200.0,200,230.454537
-200.0,200,231.062375
-200.0,200,231.667766
-200.0,200,232.303202
-200.0,200,232.969144
-200.0,200,233.647892
-200.0,200,234.316908
-200.0,200,234.997244
-200.0,200,235.679183
-200.0,200,236.597223
-200.0,200,237.824921
-200.0,200,239.057913
-200.0,200,240.259291
-200.0,200,241.308265
-200.0,200,242.356992
-200.0,200,243.402832
-200.0,200,244.314271
-200.0,200,245.013813
-200.0,200,245.706269
-200.0,200,246.400583
-200.0,200,247.098782
-200.0,200,247.797411
-200.0,200,248.752475
-200.0,200,249.807303
-200.0,200,250.854755
-200.0,200,251.898682
-200.0,200,252.646971
-200.0,200,253.332045
-200.0,200,254.026087
-200.0,200,254.716348
-200.0,200,255.417043
-200.0,200,256.11335
-200.0,200,256.749165
-200.0,200,257.388314
-200.0,200,258.041573
-200.0,200,258.687191
-200.0,200,259.328518
-200.0,200,259.976687
-200.0,200,260.680975
-200.0,200,261.39712
-200.0,200,262.114127
-200.0,200,262.816527
-200.0,200,263.532929
-200.0,200,264.374199
-200.0,200,265.647727
-200.0,200,266.921855
-200.0,200,268.169901
-200.0,200,269.221287
-200.0,200,270.269171
-200.0,200,271.32382
-200.0,200,272.270952
-200.0,200,272.991568
-200.0,200,273.696597
-200.0,200,274.399362
-200.0,200,275.104745
-200.0,200,275.812994
-200.0,200,276.746372
-200.0,200,277.806694
-200.0,200,278.861077
-200.0,200,279.912188
-200.0,200,280.656135
-200.0,200,281.364237
-200.0,200,282.077466
-200.0,200,282.796627
-200.0,200,283.51015
-200.0,200,284.198854
-200.0,200,284.840541
-200.0,200,285.476114
-200.0,200,286.110987
-200.0,200,286.755577
-200.0,200,287.399826
-200.0,200,288.045131
-200.0,200,288.74665
-200.0,200,289.455346
-200.0,200,290.166753
-200.0,200,290.986064
-200.0,200,291.762702
-200.0,200,292.868183
-200.0,200,294.169234
-200.0,200,295.545276
-200.0,200,296.744309
-200.0,200,297.845528
-200.0,200,298.95615
-200.0,200,300.06522
-200.0,200,300.83099
-200.0,200,301.542299
-200.0,200,302.246815
-200.0,200,302.964626
-200.0,200,303.669558
-200.0,200,304.539794
-200.0,200,305.596695
-200.0,200,306.650524
-200.0,200,307.704566
-200.0,200,308.529849
-200.0,200,309.262404
-200.0,200,310.016317
-200.0,200,310.768648
-200.0,200,311.521356
-200.0,200,312.344734
-200.0,200,313.446708
-200.0,200,314.556096
-200.0,200,315.665734
-200.0,200,316.563373
-200.0,200,317.311309
-200.0,200,318.058437
-200.0,200,318.81056
-200.0,200,319.56029
-200.0,200,320.465262
-200.0,200,321.578027
-200.0,200,322.652429
-200.0,200,323.714067
-200.0,200,324.59515
-200.0,200,325.351496
-200.0,200,326.106947
-200.0,200,326.88154
-200.0,200,327.641607
-200.0,200,328.397638
-200.0,200,329.089345
-200.0,200,329.731947
-200.0,200,330.531198
-200.0,200,331.285476
-200.0,200,331.850615
-200.0,200,332.427501
-200.0,200,332.997401
-200.0,200,333.573313
-200.0,200,334.156595
-200.0,200,334.728428
-200.0,200,335.269339
-200.0,200,335.825861
-200.0,200,336.387197
-200.0,200,336.937045
-200.0,200,337.505789
-200.0,200,338.057245
