% time spent exploring,episodes,mean 100 episode reward,steps
80,100,-200.0,19799
60,200,-200.0,39799
41,300,-200.0,59799
21,400,-200.0,79799
2,500,-200.0,99799
2,600,-196.3,119430
2,700,-182.6,137687
2,800,-135.8,151262
2,900,-141.7,165432
2,1000,-179.3,183366
2,1100,-200.0,203366
2,1200,-200.0,223366
2,1300,-200.0,243366
2,1400,-200.0,263366
2,1500,-200.0,283366
2,1600,-200.0,303366
2,1700,-200.0,323366
2,1800,-200.0,343366
2,1900,-200.0,363366
2,2000,-185.2,381882
2,2100,-194.9,401371
2,2200,-195.8,420946
2,2300,-199.0,440842
2,2400,-199.7,460816
2,2500,-195.6,480373
2,2600,-200.0,500373
2,2700,-195.7,519941
2,2800,-188.0,538743
2,2900,-196.6,558401
2,3000,-197.4,578137
2,3100,-200.0,598137
2,3200,-199.6,618093
2,3300,-200.0,638093
2,3400,-200.0,658093
2,3500,-200.0,678093
2,3600,-200.0,698093
2,3700,-200.0,718093
2,3800,-200.0,738093
2,3900,-200.0,758093
2,4000,-200.0,778093
2,4100,-200.0,798093
2,4200,-200.0,818093
2,4300,-199.7,838059
2,4400,-189.9,857052
2,4500,-200.0,877052
2,4600,-200.0,897052
2,4700,-200.0,917052
2,4800,-200.0,937047
2,4900,-200.0,957047
2,5000,-199.6,977006
2,5100,-200.0,997006
