# {"t_start": 1553039524.993809, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,0.712467
-200.0,200,0.806262
-200.0,200,0.906715
-200.0,200,1.007413
-200.0,200,1.107758
-200.0,200,1.209074
-200.0,200,1.296306
-200.0,200,1.37235
-200.0,200,1.454658
-200.0,200,1.532056
-200.0,200,1.722663
-200.0,200,1.791699
-200.0,200,1.860297
-200.0,200,1.941316
-200.0,200,2.044943
-200.0,200,2.13148
-200.0,200,2.220966
-200.0,200,2.29424
-200.0,200,2.363211
-200.0,200,2.431987
-200.0,200,2.566191
-200.0,200,2.642619
-200.0,200,2.722263
-200.0,200,2.802527
-200.0,200,2.871874
-200.0,200,2.955153
-200.0,200,3.039821
-200.0,200,3.127526
-200.0,200,3.216663
-200.0,200,3.294049
-200.0,200,3.437183
-200.0,200,3.531212
-200.0,200,3.631599
-200.0,200,3.72762
-200.0,200,3.799364
-200.0,200,3.891201
-200.0,200,3.982499
-200.0,200,4.132132
-200.0,200,4.26946
-200.0,200,4.40409
-200.0,200,4.688433
-200.0,200,4.82478
-200.0,200,4.958162
-200.0,200,5.091993
-200.0,200,5.242237
-200.0,200,5.405768
-200.0,200,5.552668
-200.0,200,5.692032
-200.0,200,5.823327
-200.0,200,5.962927
-200.0,200,6.124873
-200.0,200,6.391716
-200.0,200,6.555469
-200.0,200,6.717142
-200.0,200,6.85596
-200.0,200,7.026224
-200.0,200,7.213258
-200.0,200,7.400879
-200.0,200,7.571337
-200.0,200,7.747466
-200.0,200,7.897292
-200.0,200,8.092068
-200.0,200,8.191314
-200.0,200,8.285123
-200.0,200,8.38006
-200.0,200,8.473891
-200.0,200,8.567496
-200.0,200,8.672416
-200.0,200,8.764134
-200.0,200,8.854131
-200.0,200,8.942492
-200.0,200,9.104809
-200.0,200,9.192985
-200.0,200,9.281676
-200.0,200,9.370988
-200.0,200,9.464303
-200.0,200,9.558056
-200.0,200,9.649396
-200.0,200,9.738882
-200.0,200,9.818887
-200.0,200,9.909478
-200.0,200,10.07212
-200.0,200,10.166253
-200.0,200,10.257524
-200.0,200,10.348085
-200.0,200,10.433639
-200.0,200,10.52309
-200.0,200,10.630353
-200.0,200,10.723
-200.0,200,10.813888
-200.0,200,10.904395
-200.0,200,10.996299
-200.0,200,11.168567
-200.0,200,11.270067
-200.0,200,11.373505
-200.0,200,11.466177
-200.0,200,11.579751
-200.0,200,11.673183
-200.0,200,11.770443
-200.0,200,11.866584
-200.0,200,12.036951
-200.0,200,12.226287
-200.0,200,12.554877
-200.0,200,12.740344
-200.0,200,12.923464
-200.0,200,13.083262
-200.0,200,13.229249
-200.0,200,13.370741
-200.0,200,13.505255
-200.0,200,13.63876
-200.0,200,13.773834
-200.0,200,13.924455
-200.0,200,14.172841
-200.0,200,14.321959
-200.0,200,14.50082
-200.0,200,14.687016
-200.0,200,14.853639
-200.0,200,14.999763
-200.0,200,15.13706
-200.0,200,15.273014
-200.0,200,15.409565
-200.0,200,15.55645
-200.0,200,15.823319
-200.0,200,15.942456
-200.0,200,16.041434
-200.0,200,16.129218
-200.0,200,16.226514
-200.0,200,16.315627
-200.0,200,16.435875
-200.0,200,16.53137
-200.0,200,16.617089
-200.0,200,16.699186
-200.0,200,16.783769
-200.0,200,16.968485
-200.0,200,17.051009
-200.0,200,17.154212
-200.0,200,17.245706
-200.0,200,17.355279
-200.0,200,17.452772
