# {"t_start": 1553033390.8227882, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,1.24116
-200.0,200,1.335162
-200.0,200,1.432209
-200.0,200,1.527013
-200.0,200,1.622854
-200.0,200,2.0808
-200.0,200,2.211043
-200.0,200,2.33309
-200.0,200,2.458158
-200.0,200,2.573722
-200.0,200,2.796303
-200.0,200,2.908392
-200.0,200,3.025533
-200.0,200,3.130444
-200.0,200,3.240051
-200.0,200,3.483173
-200.0,200,3.601875
-200.0,200,3.710499
-200.0,200,3.816829
-200.0,200,3.919752
-200.0,200,4.11415
-200.0,200,4.217972
-200.0,200,4.317441
-200.0,200,4.425199
-200.0,200,4.536524
-200.0,200,4.827523
-200.0,200,4.931302
-200.0,200,5.027988
-200.0,200,5.127801
-200.0,200,5.227021
-200.0,200,5.409111
-200.0,200,5.511467
-200.0,200,5.613187
-200.0,200,5.721488
-200.0,200,5.823948
-200.0,200,6.012015
-200.0,200,6.110531
-200.0,200,6.211125
-200.0,200,6.309411
-200.0,200,6.410717
-200.0,200,6.599109
-200.0,200,6.695029
-200.0,200,6.791809
-200.0,200,6.887959
-200.0,200,6.986674
-200.0,200,7.082842
-200.0,200,7.266466
-200.0,200,7.372091
-200.0,200,7.472853
-200.0,200,7.575381
-200.0,200,7.678802
-200.0,200,7.881157
-200.0,200,7.980553
-200.0,200,8.08832
-200.0,200,8.192724
-200.0,200,8.295974
-200.0,200,8.491866
-200.0,200,8.591342
-200.0,200,8.692074
-200.0,200,8.790223
-200.0,200,8.888578
-200.0,200,9.097459
-200.0,200,9.209949
-200.0,200,9.32106
-200.0,200,9.427593
-200.0,200,9.53583
-200.0,200,9.739689
-200.0,200,9.846911
-200.0,200,9.951884
-200.0,200,10.054473
-200.0,200,10.159097
-200.0,200,10.357589
-200.0,200,10.473847
-200.0,200,10.580374
-200.0,200,10.690609
-200.0,200,10.795945
-200.0,200,10.994061
-200.0,200,11.103705
-200.0,200,11.210366
-200.0,200,11.317467
-200.0,200,11.423226
-200.0,200,11.620041
-200.0,200,11.727037
-200.0,200,11.835487
-200.0,200,11.941791
-200.0,200,12.047412
