EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
200.0,-200.0,5,5,0.8468301296234131,1000,0.0,1.0976367,-0.00017535686492919922,0.0009404341,0.004065475,0.004065475
200.0,-200.0,5,10,1.5822339057922363,2000,0.0,1.0984888,0.00037384033203125,0.0007802795,0.0029844167,0.0029844167
200.0,-200.0,5,15,2.2409114837646484,3000,0.0,1.098223,-0.0003025531768798828,0.00084540504,0.003273021,0.003273021
200.0,-200.0,5,20,2.9356701374053955,4000,0.0,1.0979989,-0.003507375717163086,0.0009252681,0.0025622076,0.0025622076
200.0,-200.0,5,25,3.6621973514556885,5000,0.0,1.0979452,0.004102110862731934,0.00045847398,0.0010663415,0.0010663415
200.0,-200.0,5,30,4.255600452423096,6000,0.0,1.0985556,-0.0005583763122558594,0.00060446194,0.0020314034,0.0020314034
200.0,-200.0,5,35,4.8708508014678955,7000,0.0,1.0983082,2.562999725341797e-05,0.0004860131,0.0012136488,0.0012136488
200.0,-200.0,5,40,5.471242427825928,8000,0.0,1.0967127,-0.0018742084503173828,0.0009876045,0.002958578,0.002958578
200.0,-200.0,6,46,6.0509538650512695,9200,0.0,1.0961454,-0.0011744499206542969,0.0009500185,0.004144661,0.004144661
200.0,-200.0,5,51,6.672508716583252,10200,0.0,1.0942748,0.00043839216232299805,0.00061365636,0.0018149251,0.0018149251
200.0,-200.0,5,56,7.2970030307769775,11200,0.0,1.094874,0.0018886923789978027,0.00088560174,0.00265218,0.00265218
200.0,-200.0,5,61,7.911569595336914,12200,0.0,1.0915222,0.0007143616676330566,0.0008632252,0.0040022647,0.0040022647
200.0,-200.0,5,66,8.56435489654541,13200,0.0,1.0878589,-7.164478302001953e-05,0.00055086234,0.0012572934,0.0012572934
200.0,-200.0,5,71,9.196884632110596,14200,0.0,1.0923235,0.00026154518127441406,0.0009410806,0.0027444,0.0027444
200.0,-200.0,5,76,9.850812435150146,15200,0.0,1.0896854,0.0007036924362182617,0.0010047958,0.0045171618,0.0045171618
200.0,-200.0,5,81,10.48727560043335,16200,0.0,1.088148,-0.00020682811737060547,0.0007997089,0.001735427,0.001735427
200.0,-200.0,6,87,11.127798795700073,17400,0.0,1.0843307,0.00020897388458251953,0.000628756,0.0014947271,0.0014947271
200.0,-200.0,5,92,11.788054466247559,18400,0.0,1.090102,0.0002865791320800781,0.0010246348,0.0035400996,0.0035400996
