# {"t_start": 1553050537.799264, "env_id": "Pendulum-v0"} 
r,l,t
-1273.042879,200,0.631044
-884.612324,200,0.709951
-958.111662,200,0.784827
-1254.38234,200,0.859465
-1327.991238,200,0.934034
-1805.0148,200,1.008517
-1251.668568,200,1.083003
-1811.553196,200,1.160501
-956.573019,200,1.237762
-1186.143099,200,1.312412
-1246.636428,200,1.491936
-865.412999,200,1.566726
-1655.657122,200,1.64504
-1256.129216,200,1.719688
-896.304902,200,1.794376
-867.943804,200,1.869022
-897.531351,200,1.946675
-1421.037218,200,2.021417
-1070.07572,200,2.096183
-1215.081681,200,2.182036
-908.42645,200,2.32095
-751.129443,200,2.395585
-859.108701,200,2.470161
-897.283619,200,2.544999
-1169.866788,200,2.619635
-1173.476982,200,2.694276
-1297.103227,200,2.768786
-1035.165417,200,2.843396
-910.255673,200,2.918137
-1421.382502,200,2.992792
-879.527689,200,3.126445
-753.4702,200,3.208179
-1173.628106,200,3.283436
-1482.525469,200,3.358256
-902.001206,200,3.433066
-941.1399,200,3.509224
-1493.034857,200,3.584136
-1479.191879,200,3.661031
-1381.273175,200,3.735794
-1294.18097,200,3.815126
-1819.477659,200,3.967347
-1173.179631,200,4.061177
-1594.434882,200,4.155213
-1561.226962,200,4.247327
-1287.810977,200,4.332396
-1299.547381,200,4.407189
-1370.18977,200,4.481904
-1665.827245,200,4.556439
-1139.384332,200,4.631011
-1728.310493,200,4.7058
-1668.596412,200,4.780511
-1664.66539,200,4.913772
-1102.032199,200,4.988509
-1625.102824,200,5.063073
-1585.76049,200,5.137496
-1813.225551,200,5.211807
-1171.994175,200,5.286193
-940.652998,200,5.360601
-749.240777,200,5.434906
-826.235994,200,5.50961
-1177.948677,200,5.584177
-1160.807451,200,5.717041
-886.364245,200,5.791467
-1724.124069,200,5.865876
-921.16012,200,5.940941
-859.355869,200,6.015298
-770.044698,200,6.089658
-1827.146574,200,6.166515
-1301.632338,200,6.241058
-1493.310067,200,6.315631
-1095.206873,200,6.390202
-927.184646,200,6.524591
-866.938835,200,6.599128
-1170.780452,200,6.673512
-1293.66125,200,6.748162
-970.812365,200,6.822522
-1194.041791,200,6.896936
-1354.320144,200,6.971245
-983.184163,200,7.04565
-1536.047452,200,7.120167
-1526.087075,200,7.194532
-1817.483575,200,7.32795
-994.619227,200,7.403079
-1016.36425,200,7.477926
-967.331673,200,7.552749
-1410.253756,200,7.62761
-1354.364817,200,7.702525
-1473.16394,200,7.777319
-872.339318,200,7.852151
-894.856132,200,7.927222
-987.541579,200,8.002125
-1324.339436,200,8.076836
-914.116883,200,8.213452
-981.615283,200,8.28813
-1265.045433,200,8.36302
-792.039207,200,8.437613
-1040.578987,200,8.512195
-1602.4709,200,8.586682
-1796.59671,200,8.661137
-898.271057,200,8.735599
-883.108201,200,8.810063
-938.480292,200,8.884525
-1336.497291,200,9.022116
-894.470479,200,9.097034
-966.86591,200,9.172291
-1632.022513,200,9.24724
-768.695353,200,9.322002
-1224.331926,200,9.396837
-1273.598536,200,9.474817
-884.205849,200,9.550002
-1373.210234,200,9.624753
-1028.658304,200,9.699476
-881.907205,200,9.833422
-1468.149606,200,9.907824
-1549.472062,200,9.982136
-1101.809846,200,10.0564
-1048.327038,200,10.130682
-1133.406064,200,10.205125
-909.833269,200,10.279428
-1338.519136,200,10.353855
-1591.655787,200,10.428092
-741.179855,200,10.502351
-1334.411995,200,10.635623
-1755.026302,200,10.710466
-942.667533,200,10.789151
-977.625868,200,10.863755
-993.337227,200,10.938322
-1256.485826,200,11.012932
-1444.851936,200,11.087521
-1740.11247,200,11.162127
-1171.957429,200,11.236745
-976.19759,200,11.311296
-889.307949,200,11.385863
-1596.236199,200,11.52314
-1146.031068,200,11.59771
-1298.591282,200,11.672115
-1147.1995,200,11.746512
-876.945666,200,11.820878
-1153.480606,200,11.895133
-1575.070098,200,11.96974
-746.809739,200,12.044103
-949.464345,200,12.118388
-1489.811025,200,12.192698
-767.965338,200,12.327826
-1426.221598,200,12.402318
-897.109876,200,12.476903
-1207.045934,200,12.551426
-1174.402768,200,12.625886
-1167.466996,200,12.700412
-1068.462284,200,12.775304
-986.274326,200,12.850003
-984.753282,200,12.924613
-1023.94063,200,12.999195
-944.359367,200,13.13441
-820.779228,200,13.209151
-896.20021,200,13.283666
-1335.847727,200,13.358204
-913.876677,200,13.432727
-1410.990593,200,13.507401
-1045.841864,200,13.582013
-1064.38861,200,13.656534
-1269.207075,200,13.731105
-1071.092276,200,13.805567
-747.654403,200,13.940966
-893.256769,200,14.019511
-1031.74051,200,14.094107
-1678.313965,200,14.175331
-1843.843916,200,14.250152
-1383.950803,200,14.324993
-883.786495,200,14.399988
-1512.923809,200,14.474717
-904.598234,200,14.549439
-1426.046197,200,14.624062
-1024.998908,200,14.698663
-984.420578,200,14.832197
-962.643476,200,14.906519
-1140.090521,200,14.980778
-901.519784,200,15.055067
-1124.450841,200,15.129566
-1310.911845,200,15.204068
-1169.730924,200,15.278501
-1765.378505,200,15.352766
-1062.024347,200,15.427009
-1077.117592,200,15.501324
-1179.586397,200,15.637087
-1369.845084,200,15.711677
-970.940764,200,15.786197
-963.578572,200,15.860695
-1424.677137,200,15.935269
-1303.624303,200,16.009854
-875.389836,200,16.084354
