# {"t_start": 1553050952.4267764, "env_id": "Pendulum-v0"} 
r,l,t
-1863.905417,200,1.146038
-1766.808371,200,1.247024
-1289.777666,200,1.348101
-1053.675983,200,1.448485
-1508.841971,200,1.547396
-1180.788559,200,1.889729
-1543.186392,200,1.990581
-1680.040904,200,2.091669
-1070.856856,200,2.192933
-1186.32836,200,2.294425
-1578.451374,200,2.489226
-1489.731082,200,2.592256
-1679.29529,200,2.700022
-1440.081559,200,2.801884
-1294.627931,200,2.902764
-943.647206,200,3.108617
-1052.570378,200,3.212698
-899.827751,200,3.314569
-1249.338751,200,3.416645
-1285.557444,200,3.519492
-1368.222572,200,3.719017
-1194.913162,200,3.82055
-1553.568269,200,3.922329
-886.225553,200,4.023573
-1522.721664,200,4.12536
-1405.798418,200,4.32017
-1499.556789,200,4.421354
-817.75318,200,4.522633
-1024.844492,200,4.626523
-960.981,200,4.727478
-1019.538058,200,4.920367
-1255.874109,200,5.022676
-1034.912023,200,5.123725
-958.636418,200,5.225175
-1578.901761,200,5.326445
-964.181093,200,5.529534
-1032.670009,200,5.6331
-971.71116,200,5.734608
-991.934607,200,5.837251
-1015.37379,200,5.939427
-987.558096,200,6.136786
-1163.164898,200,6.238302
-1404.578711,200,6.340422
-1174.251901,200,6.442277
-1071.633822,200,6.543465
-892.531137,200,6.644521
-904.581817,200,6.841152
-750.903778,200,6.942273
-1001.894209,200,7.043319
-1540.405214,200,7.145554
-916.878624,200,7.246501
-1327.994782,200,7.439724
-1081.065438,200,7.540581
-1137.088449,200,7.647811
-901.046672,200,7.755451
-1175.143189,200,7.858235
-881.72649,200,8.047764
-1228.381817,200,8.148878
-1556.638824,200,8.249861
-1035.254072,200,8.350774
-844.337471,200,8.451853
-1080.328144,200,8.646346
-892.763712,200,8.747133
-1053.424929,200,8.847935
-907.507409,200,8.951513
-1085.458989,200,9.060061
-1093.183416,200,9.269124
-971.053601,200,9.377789
-910.559428,200,9.487412
-1068.559304,200,9.594448
-1149.005748,200,9.69561
-1073.274854,200,9.899618
-1005.040084,200,10.006009
-903.635959,200,10.107346
-1424.940002,200,10.208442
-1100.003236,200,10.309788
-980.370132,200,10.505067
-977.865428,200,10.614166
-936.762224,200,10.722179
-1373.292171,200,10.830291
-897.160848,200,10.935856
-1073.321671,200,11.134484
-1155.882792,200,11.242684
-803.816526,200,11.351341
-1500.916879,200,11.456754
-878.45324,200,11.558325
-770.439901,200,11.659716
-1295.000374,200,11.860792
-901.260072,200,11.962133
-860.147783,200,12.063457
-857.11621,200,12.164081
-894.68107,200,12.263988
-768.17767,200,12.456548
-1460.886924,200,12.557756
-1408.76645,200,12.658753
-968.11927,200,12.760544
-1422.664779,200,12.863219
-1279.398161,200,13.054784
-817.705061,200,13.157142
-904.379077,200,13.258862
-857.781661,200,13.360422
-885.96315,200,13.462872
-860.877874,200,13.65959
-971.261421,200,13.761646
-1088.368885,200,13.86239
-1220.612695,200,13.963761
-893.431064,200,14.064903
-1351.14449,200,14.254806
-1182.656987,200,14.355698
-1328.321969,200,14.458101
-1492.620444,200,14.559426
-973.867951,200,14.660482
-991.953025,200,14.855881
-1071.871595,200,14.95801
-1111.068767,200,15.059486
-1183.271594,200,15.161258
-999.015894,200,15.263018
-1519.602789,200,15.459916
-896.911092,200,15.561404
-1337.28039,200,15.663908
-863.506276,200,15.766763
-1487.595468,200,15.870319
-1065.97365,200,16.065744
-1179.687978,200,16.167338
-808.761318,200,16.269006
-898.369026,200,16.370405
-1073.420915,200,16.471671
-1281.15185,200,16.572843
-1069.122185,200,16.766054
-1162.936492,200,16.868388
-1404.748178,200,16.972079
-966.890946,200,17.077535
-1606.235503,200,17.179062
-960.241089,200,17.368266
-982.437112,200,17.469054
-1241.33261,200,17.569946
-1073.708483,200,17.67353
-1178.379642,200,17.775545
-1010.187369,200,17.977767
-1522.48415,200,18.085918
-1072.021456,200,18.193686
-1352.395598,200,18.295274
-963.739018,200,18.39649
-1096.071035,200,18.589522
-896.13802,200,18.691226
-1070.047301,200,18.794434
-983.30518,200,18.902177
-981.03429,200,19.004034
-1356.372174,200,19.200869
-1172.51997,200,19.304
-880.658953,200,19.407746
-864.600712,200,19.509602
-1253.965799,200,19.613219
-1075.611865,200,19.811637
-1045.491696,200,19.913847
-1196.144253,200,20.015926
-1194.588307,200,20.117418
-1176.993727,200,20.218721
-1247.532147,200,20.422452
-871.266699,200,20.525235
-967.769852,200,20.627225
-970.512752,200,20.729624
-968.237977,200,20.831411
-888.185245,200,21.030418
-1771.777441,200,21.13434
-866.107769,200,21.236246
-1342.101665,200,21.338595
-962.000734,200,21.441968
-966.407617,200,21.641309
-1261.592323,200,21.742352
-863.838014,200,21.845067
-1182.940424,200,21.948355
-1366.647496,200,22.050553
-982.926007,200,22.151669
-879.83163,200,22.343228
-881.412315,200,22.445384
-1190.520148,200,22.547304
-1279.683058,200,22.648486
-1487.351103,200,22.749755
-1170.211202,200,22.94851
-1161.047557,200,23.052906
-851.367114,200,23.153417
-1122.271581,200,23.254574
-1098.475907,200,23.355842
-886.629609,200,23.554061
-873.207243,200,23.655853
-995.149668,200,23.757486
-1057.19621,200,23.859872
-843.840302,200,23.962209
-851.738619,200,24.167886
-802.163123,200,24.269415
-1001.180036,200,24.371387
-1082.777313,200,24.473849
-1016.035782,200,24.576188
-1623.238188,200,24.770439
-1038.804791,200,24.872347
-863.050345,200,24.979617
-1519.030426,200,25.089115
-1501.974443,200,25.196372
-1442.567467,200,25.405947
-1512.100458,200,25.508741
-1180.258893,200,25.611321
-1248.074766,200,25.712835
-860.146547,200,25.814842
-1227.398898,200,26.012654
-1176.267381,200,26.121128
-1172.591425,200,26.230481
-1288.644347,200,26.338682
-880.483735,200,26.444436
-880.295217,200,26.648536
-889.560305,200,26.753574
-894.73708,200,26.856994
-1337.592699,200,26.959256
-1349.643827,200,27.061438
-875.368783,200,27.163755
-887.472442,200,27.363202
-907.655014,200,27.465552
-764.654905,200,27.567647
-753.78651,200,27.669587
-1025.188272,200,27.771607
-1378.427582,200,27.970102
-1175.821317,200,28.072983
-1627.538098,200,28.174542
-1076.601605,200,28.276635
-992.907053,200,28.378682
-850.774435,200,28.572423
-1130.346296,200,28.673059
-979.809286,200,28.774881
-902.190142,200,28.877331
-1040.275488,200,28.978903
-887.512316,200,29.176414
-1590.980635,200,29.277118
-896.083182,200,29.380651
-1180.635279,200,29.484854
-1312.964104,200,29.587503
-1311.604653,200,29.784837
-1743.629739,200,29.887447
-864.393983,200,29.990909
-1518.563144,200,30.093183
-630.453924,200,30.195198
-1375.868533,200,30.395428
-752.847156,200,30.499054
-893.251778,200,30.601539
-905.28852,200,30.704044
-972.680103,200,30.806402
-1394.174621,200,31.004418
-1586.211541,200,31.105078
-1767.532557,200,31.206984
-956.92275,200,31.309215
-1034.040192,200,31.410998
-881.379718,200,31.608499
-1010.663854,200,31.709957
-1316.74643,200,31.812668
-921.95103,200,31.917984
-1516.471972,200,32.020553
-1485.913502,200,32.123096
-881.855238,200,32.317989
-1037.144911,200,32.420062
-868.239301,200,32.522555
-867.374554,200,32.623919
-1361.940181,200,32.724719
-976.721787,200,32.918219
-907.340587,200,33.021054
-992.015712,200,33.122995
-761.285712,200,33.224841
-1295.37506,200,33.32663
-1067.233386,200,33.5267
-1405.991994,200,33.630144
-1016.575478,200,33.733005
-1255.49815,200,33.836278
-1198.425059,200,33.939861
-882.015683,200,34.139124
-1214.3378,200,34.240912
-1207.465145,200,34.34298
-916.498403,200,34.445857
-879.113341,200,34.548522
-1351.375672,200,34.740207
-1594.190652,200,34.841368
-1302.864342,200,34.943797
-1363.246602,200,35.045981
-1635.584879,200,35.147619
-1564.809764,200,35.340949
-1581.773103,200,35.444559
-883.107632,200,35.546876
-1282.103958,200,35.648845
-1151.064408,200,35.754645
-847.495043,200,35.948093
-806.509749,200,36.050844
-1776.11965,200,36.153473
-1527.172562,200,36.255742
-869.706498,200,36.357552
-754.579913,200,36.551682
-889.332496,200,36.655119
-1451.311913,200,36.756044
-745.659685,200,36.858281
-1677.622061,200,36.9612
-861.781431,200,37.153452
-933.585932,200,37.255908
-979.844525,200,37.357309
-1243.250426,200,37.460097
-1039.03309,200,37.562664
-1646.96352,200,37.669238
-1567.932478,200,37.861109
-1396.051326,200,37.964556
-751.656626,200,38.067871
-1263.690224,200,38.170759
-882.06788,200,38.273703
-1261.096798,200,38.470553
-1569.328235,200,38.573526
-1505.099659,200,38.67513
-1265.632792,200,38.774914
-1306.96832,200,38.87724
-1171.772755,200,39.079864
-895.068683,200,39.182219
-1411.030311,200,39.284626
-757.08621,200,39.387216
-866.992954,200,39.489288
-1437.09161,200,39.693025
-1175.780407,200,39.795263
-1155.20221,200,39.897007
-999.092681,200,39.9993
-911.916538,200,40.101449
-1414.258213,200,40.297413
-977.690619,200,40.399785
-1373.304325,200,40.502229
-1447.251826,200,40.605143
-1291.245221,200,40.707158
-1700.475355,200,40.901266
-1285.87302,200,41.008415
-966.879699,200,41.111772
-1354.743459,200,41.214485
-854.784284,200,41.31744
-871.140477,200,41.510577
-985.530878,200,41.613261
-891.059762,200,41.711935
-1755.45409,200,41.816178
-913.568319,200,41.92513
-861.158037,200,42.127072
-1666.32766,200,42.230947
-1223.638542,200,42.333259
-1324.966621,200,42.435456
-1304.028638,200,42.537613
-1251.500494,200,42.639723
-881.021057,200,42.852377
-772.405369,200,42.958029
-973.007156,200,43.068181
-922.518001,200,43.170293
-1302.753235,200,43.273439
-1117.070447,200,43.472629
-1169.28818,200,43.574717
-1451.489436,200,43.677279
-792.045762,200,43.779721
-954.720998,200,43.882588
-981.569747,200,44.083271
-1352.370541,200,44.187824
-1194.93447,200,44.289224
-1348.711462,200,44.391572
-1298.439037,200,44.494334
-1089.932665,200,44.692019
-1061.354003,200,44.793978
-979.224982,200,44.896108
-883.361201,200,44.998763
-1265.344571,200,45.100737
-988.606292,200,45.300106
-1081.983197,200,45.402852
-1002.900925,200,45.506084
-1668.424628,200,45.608136
-1332.533139,200,45.73032
-759.225635,200,45.926247
-957.17375,200,46.028914
-858.661731,200,46.131983
-879.687967,200,46.234153
-1156.103688,200,46.335993
-1113.629088,200,46.529808
-1098.440229,200,46.631996
-1336.690649,200,46.733174
-756.098334,200,46.834373
-1005.724812,200,46.937137
-859.566366,200,47.13566
-889.091418,200,47.239174
-1444.562603,200,47.34069
-1022.079842,200,47.441915
-1298.368973,200,47.543591
-1012.485532,200,47.645832
-767.736847,200,47.845198
-1203.937491,200,47.948892
-865.602328,200,48.05114
-983.30989,200,48.153651
-836.47651,200,48.256327
-840.049914,200,48.451775
-1314.53829,200,48.554632
-1071.196112,200,48.657035
-1336.358867,200,48.7594
-902.336256,200,48.861223
-895.920737,200,49.066787
-891.839525,200,49.168596
-1640.603041,200,49.271087
-1691.562394,200,49.373801
-930.741475,200,49.477179
-913.151992,200,49.680552
-900.242406,200,49.784245
-1070.885575,200,49.886703
-1338.088823,200,49.989597
-1243.098565,200,50.092276
-1311.061601,200,50.291635
-1084.877301,200,50.39458
-1432.935493,200,50.498399
-968.407038,200,50.601795
-963.046605,200,50.704737
-766.084012,200,50.901479
-1300.870863,200,51.003915
-761.807087,200,51.106858
-1037.606901,200,51.209693
-760.255243,200,51.312667
-896.329732,200,51.506346
-1184.253301,200,51.607948
-1024.545609,200,51.710595
-985.916751,200,51.815628
-1453.021973,200,51.921967
-853.974835,200,52.120602
-789.409976,200,52.221711
-965.612851,200,52.323827
-825.250523,200,52.425251
-991.696015,200,52.527692
-1189.577537,200,52.719688
-1279.318565,200,52.824015
-1053.293694,200,52.927736
-1305.542726,200,53.029006
-1068.129281,200,53.132153
-1585.589386,200,53.234249
-995.431437,200,53.436232
-1179.588819,200,53.538182
-991.114944,200,53.638877
-1389.346677,200,53.740501
-1073.396048,200,53.845924
-1097.022911,200,54.049117
-1217.384569,200,54.150868
-1073.672507,200,54.252825
-922.830161,200,54.354367
-913.320718,200,54.45601
-1394.233951,200,54.655772
-1022.622039,200,54.757452
-1389.322547,200,54.859291
-905.304003,200,54.962036
-967.278368,200,55.064687
-1355.399747,200,55.261967
-750.754805,200,55.364728
-992.413099,200,55.469994
-963.42571,200,55.574141
-1086.787398,200,55.677037
-1394.918939,200,55.876205
-1305.494589,200,55.978121
-1321.481187,200,56.079977
-1597.55016,200,56.182448
-853.270478,200,56.284651
-1689.004056,200,56.479173
-1068.708748,200,56.581256
-1445.569462,200,56.683596
-1384.138856,200,56.78677
-1449.160776,200,56.888985
-1198.555544,200,57.087674
-1026.769686,200,57.19028
-990.539191,200,57.292944
-1181.522447,200,57.397503
-852.798895,200,57.500093
-1083.914673,200,57.698843
-989.95401,200,57.800315
-1378.214471,200,57.902686
-983.366664,200,58.006189
-993.051072,200,58.108595
-887.506995,200,58.210917
-1449.617364,200,58.406749
-1542.810687,200,58.508522
-860.001338,200,58.611159
-1371.305297,200,58.713585
-975.17315,200,58.815828
-961.80671,200,59.021981
-1694.160569,200,59.125167
-994.035386,200,59.228364
-1028.314328,200,59.333822
-1477.975159,200,59.436324
-1001.982261,200,59.634352
-1509.981781,200,59.736777
