EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
200.0,-1496.602,5,5,0.7738754749298096,1000,0.0,1.4192051,0.0006078481674194336,0.0006017746,0.0025914821,0.0025914821
200.0,-1414.4211,5,10,1.385486125946045,2000,0.0,1.4173014,0.00242006778717041,0.00088701065,0.003942713,0.003942713
200.0,-1441.7599,5,15,2.0130972862243652,3000,0.0,1.4203631,0.002399146556854248,0.0009561074,0.004512926,0.004512926
200.0,-1352.8671,5,20,2.6396327018737793,4000,0.0,1.4198649,0.006677031517028809,0.0009715674,0.0048910854,0.0048910854
200.0,-1343.3196,5,25,3.2525477409362793,5000,0.0,1.4162648,0.010162651538848877,0.0011239875,0.0047422117,0.0047422117
200.0,-1309.7307,5,30,3.8642847537994385,6000,0.0,1.4197987,0.018785059452056885,0.0010339653,0.0049913856,0.0049913856
200.0,-1289.7083,5,35,4.485508680343628,7000,0.0,1.4132222,0.025896310806274414,0.0006364413,0.0031463755,0.0031463755
200.0,-1252.8914,5,40,5.106196641921997,8000,0.0,1.4045817,0.013587594032287598,0.00077986164,0.004403147,0.004403147
200.0,-1203.6394,6,46,5.719757080078125,9200,0.0,1.3970684,0.028262853622436523,0.0008594179,0.0049766535,0.0049766535
200.0,-1155.0344,5,51,6.3297483921051025,10200,0.0,1.3853815,0.02026599645614624,0.0008696153,0.0057165627,0.0057165627
200.0,-1124.4082,5,56,6.9526894092559814,11200,0.0,1.3687911,0.01477748155593872,0.0009049418,0.0039739218,0.0039739218
200.0,-1116.6788,5,61,7.562915325164795,12200,0.0,1.3759145,0.008798658847808838,0.00080857513,0.004566242,0.004566242
200.0,-1078.0852,5,66,8.194745302200317,13200,0.0,1.3760833,0.007824718952178955,0.00049974956,0.003086201,0.003086201
200.0,-1074.8274,5,71,8.83807373046875,14200,0.0,1.3848268,0.005897223949432373,0.0014473477,0.005713617,0.005713617
200.0,-1067.6871,5,76,9.45680284500122,15200,0.0,1.3831481,0.004436373710632324,0.0008943056,0.004937428,0.004937428
200.0,-1071.8422,5,81,10.099512815475464,16200,0.0,1.3846129,0.003416299819946289,0.0009888287,0.004543598,0.004543598
200.0,-1061.1445,6,87,10.735436916351318,17400,0.0,1.3878018,0.0025888681411743164,0.0009356522,0.004804235,0.004804235
200.0,-1042.8977,5,92,11.344724893569946,18400,0.0,1.3777119,0.0020734071731567383,0.00085663603,0.004524696,0.004524696
200.0,-1064.2113,5,97,11.954670906066895,19400,0.0,1.3796734,0.0013353228569030762,0.00092285895,0.0063078804,0.0063078804
200.0,-1039.2185,5,102,12.57110595703125,20400,0.0,1.3658146,0.0005312561988830566,0.0012905403,0.0054155434,0.0054155434
200.0,-1039.2738,5,107,13.180334568023682,21400,0.0,1.3619694,0.0009821653366088867,0.0008256417,0.004813568,0.004813568
200.0,-1068.1779,5,112,13.792398452758789,22400,0.0,1.3437861,0.0009624958038330078,0.000711514,0.0031120796,0.0031120796
200.0,-1066.7576,5,117,14.40928030014038,23400,0.0,1.352219,0.0009540319442749023,0.00070566987,0.004499111,0.004499111
200.0,-1087.9199,5,122,15.026723384857178,24400,0.0,1.3450931,0.00048536062240600586,0.001045625,0.006329662,0.006329662
200.0,-1085.4912,6,128,15.639160394668579,25600,0.0,1.3349153,0.0006223320960998535,0.00080121757,0.0042489604,0.0042489604
200.0,-1133.7051,5,133,16.253670930862427,26600,0.0,1.3447819,0.00037801265716552734,0.0005855882,0.003366322,0.003366322
200.0,-1106.1116,5,138,16.869850873947144,27600,0.0,1.3423365,0.0003921985626220703,0.0008227308,0.0049527753,0.0049527753
200.0,-1145.9647,5,143,17.497748374938965,28600,0.0,1.3373054,0.00027000904083251953,0.0009059928,0.007515666,0.007515666
200.0,-1133.5092,5,148,18.120375394821167,29600,0.0,1.3373772,0.0005384683609008789,0.00078671594,0.004365812,0.004365812
200.0,-1122.4766,5,153,18.744163751602173,30600,0.0,1.3230121,0.0003428459167480469,0.00088643964,0.006747794,0.006747794
