# {"t_start": 1553555491.6931126, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-18.0,1142,51.897885
-21.0,848,98.699716
-21.0,819,140.570267
-21.0,817,186.408978
-21.0,816,227.060895
-19.0,975,278.216839
-20.0,984,328.577677
-21.0,852,375.493433
-21.0,850,418.515676
-21.0,974,463.78104
-21.0,946,514.990604
-21.0,822,554.136222
-20.0,920,597.52997
-21.0,825,639.938989
-20.0,981,683.828988
-21.0,817,726.207818
-21.0,938,770.013334
-21.0,1186,825.599701
-21.0,838,868.136024
-20.0,1278,930.119213
-20.0,1099,981.152442
-21.0,876,1025.34562
-21.0,850,1068.897698
-20.0,985,1114.922713
-21.0,804,1157.710341
-21.0,840,1195.366321
-21.0,825,1237.645842
-20.0,919,1282.767907
-21.0,868,1327.6009
-21.0,819,1364.882848
-19.0,1070,1414.575064
-20.0,893,1457.569799
-21.0,944,1505.780975
-21.0,956,1549.319177
-20.0,882,1592.334998
-19.0,1065,1643.462211
-20.0,834,1685.845376
-20.0,1069,1735.683813
-21.0,896,1780.417833
-20.0,893,1823.440094
-21.0,824,1860.886869
-20.0,999,1909.943251
-21.0,835,1952.421635
-21.0,819,1989.942942
-20.0,841,2032.449416
-21.0,911,2076.913899
-20.0,930,2120.21104
-20.0,900,2163.297947
-21.0,906,2206.478876
-21.0,817,2248.762286
-19.0,1048,2298.228593
-20.0,917,2341.408602
-20.0,1137,2396.60645
-20.0,949,2440.150313
-20.0,983,2488.730344
-21.0,837,2526.29191
-20.0,972,2575.147747
-20.0,870,2617.950427
-18.0,1081,2667.717989
-19.0,1065,2717.35097
-21.0,1046,2771.528389
-17.0,1321,2833.124151
-19.0,1031,2882.234746
-20.0,1079,2931.972804
-20.0,920,2975.240372
-18.0,1108,3030.254517
-19.0,1021,3079.380587
-18.0,1027,3128.454854
-18.0,1235,3189.317633
-18.0,1204,3245.153017
-20.0,930,3288.176617
-19.0,1384,3355.517008
-19.0,1265,3416.579635
-20.0,913,3459.688471
-19.0,1262,3520.83313
-17.0,1345,3582.938393
-18.0,1100,3637.61723
-19.0,1091,3692.144765
-18.0,1219,3748.018137
-19.0,1214,3808.86496
-14.0,1769,3889.592778
-16.0,1368,3956.683516
-20.0,1205,4012.32568
