# {"t_start": 1553074621.068351, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-19.0,1226,23.890073
-21.0,805,36.905923
-17.0,1347,60.413247
-21.0,757,73.302424
-21.0,762,85.943312
-21.0,764,99.002366
-19.0,1130,117.328482
-20.0,885,132.278523
-21.0,776,145.002499
-20.0,1013,161.901734
-21.0,829,176.303828
-21.0,757,189.335509
-21.0,877,202.345312
-21.0,759,215.066071
-21.0,760,227.851509
-21.0,821,242.764325
-21.0,763,255.762604
-21.0,757,268.790577
-21.0,757,279.841159
-21.0,760,292.455922
-21.0,761,305.218258
-21.0,788,318.363962
-21.0,760,331.097437
-21.0,782,343.930986
-19.0,950,360.765225
-21.0,783,373.430881
-21.0,930,388.672967
-20.0,975,405.383612
-21.0,943,420.456326
-20.0,1164,439.874236
-21.0,904,454.717786
-21.0,971,471.452273
-21.0,944,486.529427
-21.0,909,501.599929
-19.0,1003,518.298151
-19.0,1109,537.450112
-21.0,823,550.899082
-21.0,852,565.945288
-21.0,825,578.938538
-21.0,825,593.694351
-20.0,879,608.44663
-21.0,782,621.254149
-21.0,777,634.186363
-20.0,886,649.304394
-21.0,760,661.862458
-21.0,852,674.813697
-21.0,808,687.843632
-21.0,778,702.186045
-20.0,842,715.114602
-21.0,852,729.908822
-21.0,780,743.055956
-21.0,776,755.842364
-21.0,883,770.650411
-21.0,847,783.803046
-21.0,825,798.382532
-19.0,1114,815.864923
-21.0,968,832.706495
-19.0,994,849.505115
-21.0,836,862.324857
-20.0,900,877.302413
-20.0,900,892.303632
-21.0,871,907.26216
-21.0,868,922.100695
-21.0,805,935.187744
-20.0,840,949.911776
-20.0,871,963.143126
-20.0,1062,982.02401
-19.0,1069,999.513279
-20.0,883,1014.220925
-21.0,867,1029.372346
-19.0,1047,1046.580122
-18.0,1043,1063.645228
-19.0,1015,1080.394544
-19.0,1035,1097.404274
-20.0,836,1111.898875
-16.0,1473,1135.393428
-19.0,1078,1152.880809
-18.0,1186,1173.67724
-19.0,1134,1192.766762
-19.0,1017,1208.003425
-20.0,915,1224.410567
-20.0,950,1239.419707
-19.0,1067,1256.549984
-20.0,1046,1274.029126
-20.0,1189,1294.749789
-19.0,1132,1313.754227
-14.0,1503,1337.727627
-17.0,1490,1363.054544
-18.0,1404,1386.394444
-19.0,1265,1407.577479
-20.0,1149,1427.078252
-14.0,1623,1453.143731
-11.0,1921,1485.315816
-11.0,1900,1517.732535
-19.0,1328,1540.450533
-18.0,1292,1562.007241
-18.0,1368,1583.784206
-18.0,1613,1611.197037
-18.0,1584,1636.994242
-19.0,1475,1662.625637
-6.0,2194,1699.050462
-19.0,1435,1722.492311
-4.0,2438,1762.866537
-21.0,1489,1788.305143
-20.0,1442,1811.821299
-20.0,1345,1833.113767
-15.0,1754,1863.082309
-8.0,2151,1899.341845
-7.0,2296,1937.197713
-19.0,1479,1960.839353
-5.0,2541,2003.339443
-20.0,1410,2027.017837
-9.0,2051,2060.961432
-11.0,1918,2092.528284
-13.0,1791,2122.201016
-14.0,1711,2151.262646
-12.0,1855,2181.171543
-5.0,2483,2221.754167
-12.0,1760,2251.47656
-16.0,1477,2277.145707
-14.0,1688,2304.634363
-12.0,1756,2334.681594
-8.0,2190,2371.101456
-8.0,2207,2407.70604
-4.0,2628,2451.420324
-13.0,1989,2484.77724
-9.0,2290,2522.497715
-10.0,1941,2554.58886
-10.0,2121,2589.424186
-7.0,2230,2627.035908
-6.0,2675,2671.566794
-10.0,1956,2703.383721
-11.0,2067,2737.854793
3.0,2733,2782.869996
7.0,2390,2823.169785
-12.0,1872,2854.843106
-4.0,2522,2895.391095
-13.0,1707,2924.445457
4.0,2607,2967.087894
-4.0,2514,3009.474621
5.0,2547,3051.405565
-13.0,1750,3079.54258
-11.0,2044,3113.356464
3.0,2806,3159.95371
-13.0,1884,3191.617287
7.0,2518,3232.567377
-11.0,1995,3266.259333
-10.0,2041,3300.676546
-9.0,2122,3336.455017
-7.0,2379,3374.828808
-3.0,2694,3419.157335
-3.0,2695,3463.252476
-5.0,2450,3504.074416
-11.0,2160,3539.603341
-5.0,2517,3581.648121
-11.0,1990,3614.124084
2.0,2702,3659.233384
2.0,2785,3705.907577
-8.0,2430,3746.05101
-10.0,2201,3782.802966
-8.0,2451,3822.975163
-6.0,2590,3867.270779
1.0,2785,3912.232969
-7.0,2586,3957.185514
-5.0,2781,4002.612528
-9.0,2224,4040.30257
-5.0,2540,4083.090061
-8.0,2473,4123.309037
