# {"t_start": 1553022719.6142297, "env_id": "Taxi-v2"} 
r,l,t
-606,177,0.811921
-767,200,0.901481
-731,200,0.992231
-623,200,1.083022
-481,133,1.14318
-839,200,1.636525
-812,200,2.227404
-812,200,2.81419
-812,200,3.407981
-731,200,3.996937
-803,200,4.582737
-785,200,5.169538
-758,200,5.760802
-686,200,6.348089
-365,107,6.660802
-785,200,7.249105
-785,200,7.836544
-803,200,8.423807
-839,200,9.010844
-495,147,9.442828
-956,200,10.056257
-740,200,10.665805
-803,200,11.256954
-794,200,11.865039
-632,200,12.473052
-504,129,12.855209
-758,200,13.443573
-785,200,14.029541
-704,200,14.616854
-659,200,15.204678
-641,200,15.793086
-722,200,16.387799
-857,200,16.991817
-686,200,17.58277
-686,200,18.170223
-695,200,18.758256
-722,200,19.348663
-641,200,19.93568
-731,200,20.524466
-767,200,21.11351
-794,200,21.700264
-641,200,22.286533
-821,200,22.874198
-749,200,23.462078
-632,200,24.05018
-740,200,24.640353
-767,200,25.230408
-686,200,25.817851
-767,200,26.409967
-785,200,26.998289
-731,200,27.587655
-695,200,28.177057
-731,200,28.76815
-731,200,29.356168
-677,200,29.956437
-605,200,30.544858
-650,200,31.132412
-803,200,31.723838
-659,200,32.310405
-740,200,32.898163
-650,200,33.485535
-848,200,34.074561
-785,200,34.660792
-243,84,34.909113
-731,200,35.497686
-722,200,36.08635
-794,200,36.674987
-569,200,37.263609
-666,183,37.80232
-830,200,38.390197
-614,200,38.978122
-803,200,39.566576
-296,110,39.890855
-293,80,40.125846
-407,104,40.465875
-368,128,40.879484
-704,200,41.517961
-318,105,41.831108
-569,200,42.458047
-758,200,43.081105
-650,200,43.688612
-193,61,43.884572
-695,200,44.517169
-614,200,45.119839
-670,178,45.694741
-408,141,46.139581
-659,200,46.756304
-686,200,47.396129
-695,200,47.991102
-767,200,48.664076
-578,200,49.294702
-582,198,49.961558
-767,200,50.593906
-713,200,51.185674
-239,89,51.448677
-686,200,52.039151
-551,200,52.63131
-409,97,52.917834
-210,60,53.094397
-695,200,53.68498
-124,46,53.822453
-151,46,53.95779
-650,200,54.547544
-66,33,54.644615
-632,200,55.236618
-659,200,55.827847
-722,200,56.420932
-749,200,57.012327
-507,168,57.516143
-722,200,58.195337
-605,200,58.82182
-740,200,59.444271
-232,91,59.73726
-84,33,59.852967
-614,200,60.488921
-659,200,61.125447
-605,200,61.744468
-614,200,62.341495
-158,53,62.507772
-229,97,62.828269
-605,200,63.46577
-486,165,63.959589
-506,200,64.635442
-580,187,65.210936
-677,200,65.832015
-668,200,66.470743
-138,69,66.676017
-677,200,67.295231
-152,47,67.448088
-37,22,67.518419
-111,51,67.683062
-190,58,67.869311
-650,200,68.485041
-292,106,68.825619
-334,103,69.158746
-623,200,69.772269
-346,115,70.122981
-722,200,70.766667
-605,200,71.379085
-48,33,71.477583
-317,104,71.809322
-659,200,72.455367
-285,108,72.783637
-137,50,72.93247
-390,123,73.321421
-293,89,73.609432
-438,135,74.0323
-202,61,74.213021
-724,196,74.82143
-596,200,75.4616
-632,200,76.062988
-132,54,76.237646
-677,200,76.888605
-361,112,77.224836
-210,78,77.457465
-336,123,77.851328
-360,93,78.149954
-85,43,78.28902
-157,61,78.479797
-56,32,78.575525
-57,33,78.674476
-34,28,78.758554
-212,71,78.969952
-632,200,79.635818
-210,69,79.864947
-92,41,79.988837
-596,200,80.594191
-44,38,80.718067
-67,34,80.827243
-677,200,81.465619
-62,38,81.579386
-432,129,81.965444
-69,27,82.050523
-125,47,82.201829
-389,131,82.63068
-99,39,82.75727
-596,200,83.364801
-106,37,83.475051
-44,29,83.566141
-120,51,83.732335
-209,59,83.924036
-704,200,84.553359
-188,92,84.827527
-115,46,84.964758
-228,96,85.291772
-130,43,85.433901
-46,31,85.533886
-85,34,85.643404
-39,24,85.72069
-704,200,86.329014
-225,75,86.556474
-59,26,86.640172
-100,31,86.740002
-157,70,86.967349
-51,27,87.054383
-29,23,87.127285
-632,200,87.742794
-35,29,87.829262
-49,43,87.957284
-154,49,88.113777
-74,41,88.244628
-198,66,88.459794
-105,45,88.615196
-130,43,88.760857
-52,28,88.852294
-600,171,89.364472
-84,42,89.489179
-85,34,89.603462
-174,60,89.797168
-234,93,90.096473
-157,79,90.349016
-202,79,90.586261
-111,42,90.711618
-204,90,90.979887
-60,36,91.092849
-146,59,91.284725
-148,52,91.452483
-181,67,91.669947
-113,53,91.839993
-131,44,91.975906
-53,38,92.092019
-30,15,92.1365
-197,74,92.357661
-199,67,92.564521
-46,31,92.667622
-146,50,92.832423
-109,49,92.992378
-93,42,93.127644
-324,120,93.507294
-303,99,93.801709
-69,27,93.882085
-123,54,94.046997
-641,200,94.68943
-106,55,94.866145
-132,45,95.00048
-81,30,95.09034
-68,17,95.14119
-166,52,95.297013
-27,21,95.35947
-515,200,95.98873
-82,40,96.119786
-16,19,96.180243
-23,26,96.263597
-297,84,96.53175
-79,28,96.615485
-83,41,96.73787
-73,31,96.832336
-275,107,97.167048
-147,51,97.329668
1,11,97.36501
-398,140,97.825457
-50,35,97.933686
-16,28,98.016946
-219,78,98.249477
-246,78,98.482052
-134,47,98.632392
-147,51,98.797626
-12,15,98.845601
-115,46,98.992628
-89,38,99.115484
-114,54,99.289551
-171,66,99.49141
-174,60,99.670127
-231,81,99.912227
-53,29,100.005587
-207,84,100.293573
-116,56,100.49929
-143,56,100.692758
-65,32,100.800953
-88,37,100.92427
-83,41,101.055443
-200,77,101.299919
-15,27,101.385276
-137,50,101.540779
-149,62,101.742544
-39,33,101.848956
-38,23,101.923924
-107,38,102.048805
-98,38,102.171527
