% time spent exploring,episodes,mean 100 episode reward,steps
82,100,-666.1,18310
71,200,-341.6,29486
65,300,-138.8,34919
61,400,-95.8,39228
58,500,-72.7,42815
54,600,-66.2,46164
51,700,-57.3,49230
49,800,-39.2,51932
46,900,-34.0,54386
44,1000,-37.9,56945
41,1100,-30.0,59290
39,1200,-23.1,61457
37,1300,-19.9,63592
35,1400,-18.3,65606
33,1500,-18.9,67652
31,1600,-16.3,69599
29,1700,-18.0,71601
28,1800,-10.6,73464
26,1900,-12.0,75356
24,2000,-5.3,77017
22,2100,-6.6,78658
21,2200,-4.8,80276
19,2300,-2.4,81793
18,2400,-2.4,83379
16,2500,-2.1,84959
15,2600,-0.6,86485
13,2700,2.3,87901
12,2800,1.3,89380
11,2900,2.2,90806
9,3000,2.2,92222
8,3100,2.5,93674
6,3200,5.2,95027
5,3300,5.6,96376
4,3400,6.3,97683
2,3500,6.2,98996
2,3600,7.0,100280
2,3700,7.5,101543
2,3800,7.3,102847
2,3900,7.1,104156
2,4000,7.7,105430
2,4100,7.8,106680
2,4200,7.9,107950
2,4300,7.9,109226
2,4400,7.7,110485
2,4500,7.7,111734
2,4600,7.5,113046
2,4700,7.7,114316
2,4800,7.6,115568
2,4900,6.9,116861
2,5000,7.2,118121
2,5100,8.1,119384
2,5200,7.7,120636
2,5300,8.1,121892
2,5400,7.4,123197
2,5500,7.8,124492
2,5600,6.8,125828
2,5700,7.9,127086
2,5800,7.6,128369
2,5900,7.4,129654
2,6000,7.6,130945
2,6100,7.4,132239
2,6200,7.9,133483
2,6300,7.3,134774
2,6400,7.8,136036
2,6500,8.2,137279
2,6600,7.7,138550
2,6700,6.9,139869
2,6800,7.8,141128
2,6900,7.5,142405
2,7000,7.5,143700
2,7100,7.9,144969
2,7200,7.6,146220
2,7300,8.0,147480
2,7400,7.9,148706
2,7500,7.1,149978
2,7600,7.3,151278
2,7700,7.0,152616
2,7800,7.7,153895
2,7900,7.6,155168
2,8000,6.8,156478
2,8100,7.6,157760
2,8200,7.4,159021
2,8300,7.7,160293
2,8400,7.3,161596
2,8500,7.6,162889
2,8600,7.7,164160
2,8700,7.9,165410
2,8800,7.6,166699
2,8900,7.8,167983
2,9000,8.0,169256
2,9100,6.9,170576
2,9200,7.0,171887
2,9300,7.8,173159
2,9400,7.6,174458
2,9500,6.9,175822
2,9600,7.2,177116
2,9700,7.5,178389
2,9800,6.9,179711
2,9900,7.5,180991
2,10000,7.7,182259
2,10100,7.4,183516
2,10200,7.7,184811
2,10300,7.3,186114
2,10400,7.7,187387
2,10500,7.2,188708
2,10600,8.0,189966
2,10700,7.1,191254
2,10800,7.2,192570
2,10900,7.3,193853
2,11000,7.1,195131
2,11100,7.6,196413
2,11200,7.3,197689
2,11300,7.7,198952
2,11400,7.9,200215
2,11500,7.8,201508
2,11600,7.9,202771
2,11700,7.8,204042
2,11800,7.3,205357
2,11900,7.0,206708
2,12000,7.6,207988
2,12100,7.7,209270
2,12200,7.4,210540
2,12300,7.5,211816
2,12400,7.5,213085
2,12500,7.8,214366
2,12600,7.6,215664
2,12700,7.9,216952
2,12800,6.6,218293
2,12900,7.8,219529
2,13000,8.3,220753
2,13100,8.0,222005
2,13200,7.8,223251
2,13300,7.3,224516
2,13400,7.4,225797
2,13500,7.4,227078
2,13600,8.1,228338
2,13700,7.8,229567
2,13800,8.2,230808
2,13900,7.6,232119
2,14000,8.0,233367
2,14100,7.8,234636
2,14200,7.2,235933
2,14300,7.2,237225
2,14400,7.8,238492
2,14500,7.9,239744
2,14600,6.9,241064
2,14700,8.3,242314
2,14800,7.9,243572
2,14900,7.8,244830
2,15000,7.1,246141
2,15100,7.3,247411
2,15200,7.4,248684
2,15300,7.4,249942
2,15400,8.2,251210
2,15500,6.4,252571
2,15600,7.7,253868
2,15700,7.4,255152
2,15800,7.6,256431
2,15900,7.8,257699
2,16000,6.8,259011
2,16100,7.7,260288
2,16200,7.6,261574
2,16300,8.0,262837
2,16400,7.4,264107
2,16500,7.3,265387
2,16600,7.3,266672
2,16700,7.7,267917
2,16800,7.3,269216
2,16900,7.7,270490
2,17000,7.4,271790
2,17100,6.7,273108
2,17200,7.4,274385
2,17300,7.7,275661
2,17400,7.4,276928
2,17500,7.7,278207
2,17600,7.8,279473
2,17700,7.5,280730
2,17800,7.6,282036
2,17900,7.4,283329
2,18000,7.9,284627
2,18100,7.8,285880
2,18200,7.3,287150
2,18300,7.4,288443
2,18400,7.6,289723
2,18500,7.3,290990
2,18600,6.7,292304
2,18700,7.8,293546
2,18800,7.3,294841
2,18900,7.5,296102
2,19000,7.8,297363
2,19100,7.6,298633
