# {"t_start": 1553021362.1168172, "env_id": "Taxi-v2"} 
r,l,t
-55,22,1.549853
-803,200,1.638105
-812,200,1.698972
-758,200,1.759784
-839,200,1.820553
-839,200,1.881302
-776,200,1.941921
-749,200,2.002747
-767,200,2.063283
-767,200,2.123024
-749,200,2.181784
-848,200,3.08632
-758,200,3.147325
-812,200,3.208371
-614,200,3.268358
-722,200,3.327188
-731,200,3.388074
-803,200,3.448513
-749,200,3.509142
-866,200,3.569993
-740,200,3.630769
-848,200,3.852532
-704,200,3.912313
-704,200,3.973361
-875,200,4.034447
-821,200,4.09553
-803,200,4.156619
-821,200,4.217711
-794,200,4.278815
-839,200,4.34002
-812,200,4.401303
-749,200,4.624152
-911,200,4.683874
-839,200,4.744821
-839,200,4.805747
-37,22,4.812536
-794,200,4.873571
-713,200,4.934432
-893,200,4.99518
-740,200,5.055575
-794,200,5.116519
-776,200,5.177273
-704,200,5.400216
-650,200,5.460159
-767,200,5.521211
-758,200,5.581776
-707,188,5.639914
-767,200,5.698623
-740,200,5.759211
-830,200,5.81982
-830,200,5.880408
-677,200,5.941039
-794,200,6.001663
-821,200,6.222994
-749,200,6.282764
-758,200,6.343323
-731,200,6.403913
-695,200,6.464399
-794,200,6.525022
-794,200,6.585512
-614,200,6.645937
-722,200,6.705725
-704,200,6.766233
-659,200,6.988292
-776,200,7.048199
-749,200,7.108956
-731,200,7.168773
-668,200,7.228955
-848,200,7.289605
-803,200,7.350261
-785,200,7.410812
-803,200,7.471598
-525,168,7.52266
-767,200,7.744865
-704,200,7.803997
-686,200,7.86491
-659,200,7.925756
-650,200,7.986545
-668,200,8.047353
-677,200,8.107721
-695,200,8.168181
-722,200,8.228797
-668,200,8.289648
-605,200,8.511235
-614,200,8.570827
-650,200,8.631528
-650,200,8.692307
-605,200,8.753089
-659,200,8.813965
-623,200,8.874687
-614,200,8.935402
-540,174,8.988264
-326,95,9.017152
-515,200,9.077828
-578,200,9.299467
-569,200,9.359289
-560,200,9.420022
-542,200,9.480348
-515,200,9.540913
-641,200,9.601608
-533,200,9.662227
-569,200,9.723463
-551,200,9.784258
-551,200,9.844846
-614,200,9.905442
-578,200,10.128572
-569,200,10.188398
-416,200,10.249063
-479,200,10.309784
-434,200,10.370536
-506,200,10.431362
-434,200,10.492076
-434,200,10.553838
-497,200,10.614234
-488,200,10.674848
-443,200,10.895604
-407,200,10.955403
-371,200,11.016012
-407,200,11.076694
-416,200,11.137379
-398,200,11.197884
-398,200,11.258419
-497,200,11.31903
-425,200,11.377781
-416,200,11.438694
-371,200,11.663189
-371,200,11.723385
-317,200,11.783181
-380,200,11.843483
-308,200,11.903626
-353,200,11.963341
-344,200,12.025726
-380,200,12.085891
-398,200,12.14664
-362,200,12.208539
-335,200,12.43561
-281,200,12.496175
-344,200,12.556701
-317,200,12.618045
-371,200,12.679395
-317,200,12.740678
-362,200,12.803865
-371,200,12.867649
-317,200,12.927337
-299,200,12.988246
-308,200,13.049361
-290,200,13.273424
-290,200,13.334408
-308,200,13.395456
-290,200,13.456212
-299,200,13.516907
-236,200,13.577816
-290,200,13.638366
-299,200,13.698117
-317,200,13.759002
-281,200,13.81989
-299,200,14.041402
-335,200,14.101575
-272,200,14.162467
-245,200,14.223043
-299,200,14.283637
-281,200,14.342428
-299,200,14.400965
-272,200,14.459412
-281,200,14.518701
-263,200,14.57965
-272,200,14.801182
-227,200,14.86116
-245,200,14.921863
-272,200,14.981839
-236,200,15.043023
-236,200,15.104136
-245,200,15.164998
-245,200,15.226104
-227,200,15.289915
-290,200,15.350429
-236,200,15.571605
-227,200,15.63048
-245,200,15.691059
-254,200,15.751645
-227,200,15.812128
-236,200,15.872804
-227,200,15.933279
-236,200,15.993813
-236,200,16.054296
-218,200,16.114411
-254,200,16.335199
-272,200,16.394649
-218,200,16.455268
-227,200,16.515656
-254,200,16.576283
-236,200,16.636713
-227,200,16.697891
-272,200,16.758212
-218,200,16.818872
-227,200,16.879757
-227,200,16.940373
-245,200,17.161048
-218,200,17.221117
-227,200,17.282206
-209,200,17.341156
-227,200,17.399581
-218,200,17.458029
-245,200,17.516415
-209,200,17.578893
-236,200,17.638944
-245,200,17.699406
-254,200,17.922162
-209,200,17.980859
-209,200,18.03981
-227,200,18.100709
-236,200,18.161549
-218,200,18.222136
-227,200,18.282876
-200,200,18.343623
-227,200,18.404472
-209,200,18.465281
-209,200,18.689915
-227,200,18.7489
-227,200,18.809435
-200,200,18.870065
-218,200,18.930611
-218,200,18.990951
-218,200,19.051399
-209,200,19.111381
