# {"t_start": 1553022068.273324, "env_id": "Taxi-v2"} 
r,l,t
-363,114,0.823868
-803,200,0.889666
-776,200,0.957656
-866,200,1.025125
-713,200,1.092757
-785,200,1.498756
-830,200,1.567285
-812,200,1.634726
-767,200,1.701369
-731,200,1.768046
-740,200,2.011328
-830,200,2.081331
-866,200,2.148786
-749,200,2.216079
-776,200,2.283397
-749,200,2.529047
-731,200,2.601341
-803,200,2.670072
-686,200,2.737514
-830,200,2.804039
-830,200,3.046063
-686,200,3.115349
-839,200,3.181699
-623,200,3.248584
-704,200,3.313921
-767,200,3.380014
-722,200,3.629247
-767,200,3.697757
-812,200,3.765439
-839,200,3.832533
-749,200,3.898607
-758,200,4.145697
-749,200,4.211848
-677,200,4.279417
-830,200,4.347828
-641,200,4.415628
-731,200,4.668219
-722,200,4.746361
-740,200,4.813863
-650,200,4.880243
-659,200,4.948177
-722,200,5.198073
-677,200,5.263655
-704,200,5.331053
-695,200,5.39711
-731,200,5.465474
-686,200,5.715927
-830,200,5.78548
-695,200,5.853359
-722,200,5.920931
-749,200,5.98838
-686,200,6.250044
-803,200,6.326434
-695,200,6.395938
-794,200,6.462398
-713,200,6.530972
-448,136,6.577194
-686,200,6.830726
-677,200,6.89942
-64,40,6.913839
-704,200,6.982692
-749,200,7.053933
-776,200,7.304204
-731,200,7.371542
-731,200,7.440662
-785,200,7.520671
-578,200,7.593966
-794,200,7.668322
-686,200,7.923774
-650,200,7.991689
-497,149,8.041609
-659,200,8.109478
-668,200,8.177078
-668,200,8.433784
-758,200,8.510082
-668,200,8.585905
-695,200,8.660517
-704,200,8.728589
-740,200,8.984953
-216,84,9.01627
-749,200,9.088303
-776,200,9.159356
-731,200,9.229548
-758,200,9.303552
-207,66,9.509191
-641,200,9.581754
-677,200,9.651447
-713,200,9.719277
-650,200,9.786924
-731,200,9.854264
-533,200,10.103698
-758,200,10.169867
-695,200,10.237436
-812,200,10.305475
-554,170,10.36166
-641,200,10.610741
-731,200,10.680501
-659,200,10.74858
-632,200,10.817853
-659,200,10.884938
-713,200,11.133812
-641,200,11.199687
-587,200,11.266672
-632,200,11.333803
-731,200,11.400125
-668,200,11.648216
-668,200,11.722078
-551,200,11.790986
-650,200,11.858069
-587,200,11.924971
-623,200,12.171468
-623,200,12.240362
-686,200,12.30747
-210,78,12.334439
-596,200,12.401094
-731,200,12.468319
-614,200,12.715862
-406,130,12.758787
-740,200,12.826315
-605,200,12.894053
-686,200,12.961684
-740,200,13.209135
-605,200,13.277837
-387,156,13.328191
-749,200,13.393923
-695,200,13.462237
-614,200,13.530121
-695,200,13.782989
-596,200,13.848807
-740,200,13.916114
-632,200,13.983095
-596,200,14.050132
-704,200,14.322693
-650,200,14.412597
-686,200,14.493155
-713,200,14.560898
-749,200,14.629489
-632,200,14.877216
-196,82,14.904283
-605,200,14.972813
-605,200,15.039391
-668,200,15.106695
-569,200,15.173229
-641,200,15.422741
-614,200,15.488658
-704,200,15.555386
-686,200,15.623477
-713,200,15.691633
-650,200,15.938308
-713,200,16.005676
-668,200,16.073546
-623,200,16.141434
-551,200,16.208828
-614,200,16.454594
-632,200,16.520671
-758,200,16.591463
-713,200,16.66027
-596,200,16.729317
-740,200,16.977983
-614,200,17.04423
-551,200,17.110873
-578,200,17.177517
-578,200,17.245219
-650,200,17.491798
-614,200,17.56132
-555,198,17.629273
-749,200,17.697173
-650,200,17.764444
-740,200,18.011965
-614,200,18.079032
-668,200,18.147518
-560,200,18.214853
-542,200,18.282542
-659,200,18.53102
-569,200,18.599454
-279,111,18.635939
-650,200,18.704053
-695,200,18.772165
-695,200,18.840158
-560,200,19.088937
-578,200,19.156195
-659,200,19.223462
-632,200,19.29057
-677,200,19.358088
-551,200,19.605589
-596,200,19.672223
-623,200,19.739356
-596,200,19.80709
-506,200,19.874922
-560,200,20.122014
-569,200,20.189687
-578,200,20.256984
-650,200,20.324932
-569,200,20.392522
-551,200,20.63792
-641,200,20.706296
-587,200,20.777727
-587,200,20.868708
-596,200,20.943441
-533,200,21.189915
-542,200,21.256322
-695,200,21.323825
-578,200,21.392128
-488,200,21.459138
-659,200,21.525407
-713,200,21.772301
-551,200,21.838944
-524,200,21.906887
-569,200,21.974112
-650,200,22.041698
-614,200,22.289461
-587,200,22.355468
-587,200,22.423187
-542,200,22.490524
-650,200,22.55787
-587,200,22.807294
-650,200,22.873891
-551,200,22.941519
-632,200,23.008818
-596,200,23.076891
-551,200,23.324437
-587,200,23.394232
-623,200,23.462555
-623,200,23.530484
-506,200,23.600103
-266,107,23.635383
-551,200,23.885448
-623,200,23.953641
-749,200,24.021294
-614,200,24.091097
-614,200,24.160594
-578,200,24.408472
-605,200,24.476411
-578,200,24.542282
-605,200,24.60977
-560,200,24.675498
-731,200,24.923262
-497,200,24.988213
-623,200,25.055585
-524,200,25.124128
-515,200,25.189992
-542,200,25.436585
-551,200,25.503075
-623,200,25.570984
-695,200,25.637721
-497,200,25.707016
-632,200,25.956921
-452,200,26.023535
-542,200,26.092196
-524,200,26.159454
-641,200,26.226554
-596,200,26.475821
-515,200,26.551774
-623,200,26.623011
-451,193,26.68878
-533,200,26.756875
-497,200,27.005525
-542,200,27.076142
-488,200,27.143551
-578,200,27.211018
-560,200,27.27819
-542,200,27.525588
-392,170,27.585458
-524,200,27.651231
-533,200,27.718514
-542,200,27.785838
-470,200,27.853514
-650,200,28.104302
-488,200,28.171185
-515,200,28.239782
-515,200,28.307803
-569,200,28.37581
-524,200,28.623016
-497,200,28.691106
-497,200,28.758306
-533,200,28.82634
-470,200,28.893541
-497,200,29.14237
-376,190,29.205292
-470,200,29.27282
-461,200,29.34017
-425,200,29.407516
-479,200,29.654126
-560,200,29.726883
-497,200,29.797302
-578,200,29.866112
-533,200,29.937214
-560,200,30.195324
-560,200,30.26285
-479,200,30.32908
-443,200,30.396094
-461,200,30.46384
-407,200,30.709928
-560,200,30.796023
-470,200,30.877045
-506,200,30.944724
-569,200,31.011316
-506,200,31.257711
-398,200,31.326174
-506,200,31.394922
-533,200,31.465305
-488,200,31.539539
-497,200,31.608842
-461,200,31.855559
-416,200,31.921237
-431,191,31.985305
-560,200,32.052148
-542,200,32.120731
-452,200,32.364502
-488,200,32.429984
-497,200,32.495943
-443,200,32.563169
-389,200,32.629504
-407,200,32.879126
-524,200,32.944491
-425,200,33.034271
-497,200,33.148036
-470,200,33.218552
-232,118,33.438329
-515,200,33.512351
-488,200,33.581575
-488,200,33.650671
-515,200,33.718566
-479,200,33.7865
-551,200,34.037199
-569,200,34.104316
-470,200,34.172925
-506,200,34.240246
-425,200,34.307721
-470,200,34.55606
-443,200,34.624017
-488,200,34.692076
-497,200,34.760317
-479,200,34.828258
-443,200,35.077947
-380,200,35.149594
-605,200,35.220311
-506,200,35.288853
-434,200,35.357167
-398,200,35.608836
-452,200,35.676329
-443,200,35.744406
-515,200,35.812456
-488,200,35.88081
-461,200,36.130244
-434,200,36.195821
-380,200,36.2619
-560,200,36.327656
-488,200,36.3951
-551,200,36.645126
-425,200,36.712826
-443,200,36.780953
-416,200,36.848528
-380,200,36.916718
-434,200,37.164251
-479,200,37.229837
-443,200,37.296659
-434,200,37.36288
-461,200,37.429245
-452,200,37.676246
-452,200,37.744927
-407,200,37.811174
-461,200,37.87993
-452,200,37.946317
-362,200,38.19327
-524,200,38.260924
-398,200,38.328928
-407,200,38.39724
-452,200,38.463202
-488,200,38.530565
-533,200,38.779179
-479,200,38.846591
-195,81,38.874326
-488,200,38.941709
-380,200,39.009112
-398,200,39.254546
-357,144,39.303527
-470,200,39.370603
-425,200,39.438987
-533,200,39.506167
-425,200,39.573055
-452,200,39.821335
-452,200,39.88794
-192,87,39.917253
-275,134,39.962023
-461,200,40.028564
-452,200,40.096928
-470,200,40.343552
-461,200,40.409801
-398,200,40.476519
-452,200,40.543968
-488,200,40.612537
-497,200,40.860632
-389,200,40.927937
-434,200,40.996196
-443,200,41.064349
-425,200,41.13298
-461,200,41.383392
-443,200,41.458502
-299,140,41.50695
-341,164,41.561351
-479,200,41.631921
-434,200,41.702214
-443,200,41.951237
-407,200,42.017816
-479,200,42.086027
-351,183,42.147211
-470,200,42.21366
-452,200,42.46615
-452,200,42.543111
-506,200,42.621494
-362,200,42.708799
-362,200,42.783984
-443,200,43.033127
-443,200,43.098965
-434,200,43.167847
-407,200,43.235549
-425,200,43.302939
-407,200,43.548778
-398,200,43.614876
-407,200,43.680936
-353,200,43.746896
-407,200,43.812715
-265,151,44.041422
-452,200,44.110706
-434,200,44.176261
-416,200,44.243606
-452,200,44.310947
