# {"t_start": 1553168431.7380624, "env_id": "Taxi-v2"} 
r,l,t
-758,200,0.555579
-803,200,0.616496
-839,200,0.67711
-794,200,0.737392
-821,200,0.798022
-830,200,0.858687
-650,200,0.919497
-803,200,0.98009
-749,200,1.040549
-902,200,1.101064
-785,200,1.359612
-839,200,1.419804
-704,200,1.480428
-803,200,1.540877
-875,200,1.600991
-758,200,1.660393
-731,200,1.720829
-803,200,1.781529
-633,195,1.840754
-803,200,1.901445
-830,200,2.125882
-848,200,2.185833
-749,200,2.246765
-731,200,2.307827
-893,200,2.368884
-875,200,2.429856
-794,200,2.490908
-578,200,2.551895
-459,120,2.5885
-812,200,2.649755
-794,200,2.710654
-749,200,2.932386
-758,200,2.993182
-866,200,3.054041
-839,200,3.115465
-740,200,3.176534
-803,200,3.237216
-776,200,3.296811
-812,200,3.3559
-731,200,3.416879
-713,200,3.477844
-695,200,3.699729
-785,200,3.75963
-713,200,3.821294
-632,200,3.881035
-758,200,3.941706
-641,200,4.002229
-776,200,4.062851
-758,200,4.123254
-749,200,4.18381
-749,200,4.244151
-812,200,4.466505
-758,200,4.52532
-659,200,4.58526
-785,200,4.64531
-722,200,4.706154
-151,55,4.72279
-803,200,4.783603
-686,200,4.844346
-477,138,4.886168
-830,200,4.947116
-794,200,5.007658
-713,200,5.230867
-785,200,5.290414
-830,200,5.351096
-740,200,5.411786
-713,200,5.472073
-713,200,5.532724
-767,200,5.593666
-767,200,5.653207
-722,200,5.712506
-731,200,5.772586
-773,182,5.825463
-632,200,6.047099
-713,200,6.106739
-632,200,6.167118
-677,200,6.228791
-767,200,6.289162
-740,200,6.347501
-731,200,6.407023
-740,200,6.467655
-704,200,6.528398
-569,200,6.588918
-677,200,6.810672
-569,200,6.871528
-686,200,6.932423
-650,200,6.99385
-641,200,7.05466
-749,200,7.115267
-632,200,7.176232
-695,200,7.236832
-713,200,7.297414
-659,200,7.35794
-605,200,7.580695
-551,200,7.639937
-560,200,7.699654
-560,200,7.758062
-632,200,7.81639
-524,200,7.875179
-713,200,7.935761
-596,200,7.996595
-587,200,8.056169
-587,200,8.11622
-542,200,8.339255
-506,200,8.399188
-596,200,8.460208
-497,200,8.521462
-497,200,8.582483
-488,200,8.643653
-515,200,8.704873
-515,200,8.766104
-524,200,8.827414
-551,200,8.888605
-551,200,8.94975
-479,200,9.172254
-389,200,9.233229
-488,200,9.294556
-371,200,9.355686
-380,200,9.416794
-60,54,9.433346
-443,200,9.494429
-452,200,9.555461
-380,200,9.616147
-398,200,9.677317
-443,200,9.738784
-380,200,9.962981
-353,200,10.02384
-380,200,10.08513
-326,200,10.146312
-416,200,10.207591
-380,200,10.269023
-416,200,10.329634
-326,200,10.390838
-362,200,10.451631
-380,200,10.512878
