# {"t_start": 1553164454.6536503, "env_id": "Taxi-v2"} 
r,l,t
-357,99,0.530385
-686,200,0.59121
-749,200,0.651967
-794,200,0.712661
-722,200,0.773313
-749,200,0.834278
-767,200,0.8951
-794,200,0.954037
-767,200,1.012914
-839,200,1.07185
-839,200,1.332093
-650,200,1.392413
-767,200,1.453244
-875,200,1.514177
-776,200,1.573433
-866,200,1.633527
-830,200,1.69376
-776,200,1.754151
-821,200,1.814809
-794,200,1.875439
-740,200,2.097132
-830,200,2.156888
-733,178,2.210589
-884,200,2.271118
-839,200,2.331551
-704,200,2.392022
-794,200,2.452555
-821,200,2.512982
-722,200,2.573082
-644,152,2.618987
-767,200,2.679219
-848,200,2.90199
-695,200,2.961664
-740,200,3.022225
-785,200,3.082836
-677,200,3.143281
-830,200,3.203863
-758,200,3.264446
-830,200,3.325092
-839,200,3.385731
-794,200,3.446435
-794,200,3.669327
-659,200,3.728147
-794,200,3.788281
-740,200,3.848699
-785,200,3.908991
-740,200,3.969283
-758,200,4.029626
-722,200,4.089833
-839,200,4.149861
-794,200,4.210236
-686,200,4.270657
-80,38,4.444541
-740,200,4.503489
-722,200,4.563948
-677,200,4.624475
-884,200,4.684913
-911,200,4.745479
-713,200,4.805906
-686,200,4.86638
-758,200,4.926924
-767,200,4.987348
-686,200,5.047973
-767,200,5.269972
-722,200,5.329933
-722,200,5.390446
-758,200,5.450794
-767,200,5.511286
-704,200,5.571761
-551,200,5.632147
-740,200,5.692532
-803,200,5.752848
-587,200,5.813325
-704,200,6.035462
-596,200,6.094993
-704,200,6.155026
-623,200,6.215282
-596,200,6.275348
-686,200,6.335477
-668,200,6.395787
-677,200,6.456091
-758,200,6.516321
-686,200,6.576264
-421,163,6.788082
-686,200,6.848185
-695,200,6.909092
-686,200,6.969855
-587,200,7.030552
-551,200,7.091315
-596,200,7.151873
-605,200,7.212504
-614,200,7.27309
-677,200,7.333612
-641,200,7.395036
-551,200,7.61668
-470,200,7.676848
-517,187,7.733007
-578,200,7.793469
-677,200,7.854264
-569,200,7.914776
-605,200,7.975341
-614,200,8.035011
-515,200,8.093275
-533,200,8.151342
-542,200,8.375843
-497,200,8.43566
-384,180,8.489516
-524,200,8.549979
-452,200,8.608381
-560,200,8.66877
-461,200,8.729319
-461,200,8.789948
-470,200,8.84871
-479,200,8.909
-461,200,9.131885
-371,200,9.191169
-416,200,9.251741
-380,200,9.312275
-461,200,9.372819
-300,150,9.41815
-461,200,9.47858
-416,200,9.538762
-371,200,9.598824
-452,200,9.659286
-506,200,9.717891
-389,200,9.942393
-380,200,10.002447
-362,200,10.062966
-326,200,10.123305
-362,200,10.183809
-407,200,10.244501
-398,200,10.305173
-221,116,10.340709
-407,200,10.399356
-344,200,10.457867
-335,200,10.678863
-353,200,10.738231
-353,200,10.799171
-335,200,10.860196
-308,200,10.920963
-353,200,10.982373
-389,200,11.043411
-248,161,11.092532
-335,200,11.153531
-362,200,11.21452
-290,200,11.275326
-245,200,11.49804
-308,200,11.558423
-290,200,11.619488
-254,200,11.680364
-326,200,11.741189
-299,200,11.802141
-272,200,11.862939
-317,200,11.923868
-380,200,11.984668
-263,200,12.045662
-353,200,12.268285
-308,200,12.328112
-254,200,12.389141
-263,200,12.45002
-326,200,12.510914
-308,200,12.571603
-290,200,12.632353
-153,102,12.663487
-373,178,12.717234
-272,200,12.777618
-281,200,12.838235
-254,200,13.06103
-308,200,13.121119
-272,200,13.182199
-308,200,13.243126
-263,200,13.304158
-263,200,13.365309
-290,200,13.426226
-299,200,13.487241
-272,200,13.547897
-263,200,13.608963
-254,200,13.832178
-254,200,13.892278
-290,200,13.953358
-227,200,14.014406
-254,200,14.07545
-299,200,14.136752
-236,200,14.19797
-272,200,14.259089
-254,200,14.320113
-254,200,14.381263
