approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
1248.754,0.90441895,189.8,-741.2,0.0008230209350585938,2463,1,0.2693573,0.4164717,2048,0.8312134742736816,2048,1993.8403
0.0,0.0,198.98,-246.11,0.0,2620,10,0.0,2.903107e-08,20480,7.8755598068237305,20480,108.174416
0.0,0.0,200.0,-200.0,1.1920928955078125e-07,2619,20,0.0,4.732283e-08,40960,15.705824375152588,40960,112.073654
0.0,0.0,200.0,-200.0,1.1920928955078125e-07,2610,30,0.0,1.1862721e-07,61440,23.55147886276245,61440,109.10323
0.0,0.0,200.0,-200.0,0.0,2643,40,0.0,-4.278263e-08,81920,31.38358759880066,81920,106.254845
0.0,0.0,200.0,-200.0,0.0,2626,50,0.0,9.103678e-08,102400,39.21650576591492,102400,102.688286
0.0,0.0,200.0,-200.0,0.0,2616,60,0.0,1.3504177e-08,122880,47.050459146499634,122880,102.625374
0.0,0.0,200.0,-200.0,0.0,2629,70,0.0,-2.3166649e-08,143360,54.87490630149841,143360,102.372635
0.0,0.0,200.0,-200.0,0.0,2599,80,0.0,-3.905734e-08,163840,62.692171573638916,163840,102.27801
0.0,0.0,200.0,-200.0,-1.1920928955078125e-07,2623,90,0.0,2.9525836e-08,184320,70.54485082626343,184320,101.3841
0.0,0.0,200.0,-200.0,-1.1920928955078125e-07,2600,100,0.0,-7.21775e-09,204800,78.37531423568726,204800,102.175095
0.0,0.0,200.0,-200.0,5.960464477539063e-08,2619,110,0.0,8.3760824e-08,225280,86.2138352394104,225280,102.13831
0.0,0.0,200.0,-200.0,0.0,2619,120,0.0,3.4691766e-08,245760,94.04611849784851,245760,102.106804
0.0,0.0,200.0,-200.0,0.0,2614,130,0.0,3.7776772e-08,266240,101.90952587127686,266240,102.04056
0.0,0.0,200.0,-200.0,5.960464477539063e-08,2602,140,0.0,-3.6583515e-08,286720,109.75206065177917,286720,100.57245
