# {"t_start": 1553172734.3370938, "env_id": "Taxi-v2"} 
r,l,t
-812,200,0.563273
-367,100,0.593601
-749,200,0.653966
-731,200,0.714538
-695,200,0.774806
-731,200,0.834793
-803,200,0.893379
-785,200,0.951796
-848,200,1.011331
-668,167,1.06238
-531,138,1.10428
-308,200,1.362991
-200,200,1.423028
-200,200,1.482888
-200,200,1.54298
-200,200,1.603182
-200,200,1.663374
-200,200,1.723495
-200,200,1.783734
-200,200,1.843681
-200,200,1.903938
-200,200,2.126069
-200,200,2.185644
-200,200,2.246913
-200,200,2.307306
-200,200,2.367629
-200,200,2.428086
-200,200,2.488363
-200,200,2.548855
-200,200,2.609792
-200,200,2.66916
-200,200,2.89078
-200,200,2.949892
-200,200,3.010168
-200,200,3.070305
-200,200,3.130544
-200,200,3.1914
-200,200,3.250339
-200,200,3.310774
-200,200,3.371592
-200,200,3.432339
-200,200,3.65398
-200,200,3.71371
-200,200,3.774423
-200,200,3.8353
-200,200,3.895899
-200,200,3.956336
-200,200,4.016799
-200,200,4.077471
-200,200,4.138075
-200,200,4.198664
-200,200,4.259233
-200,200,4.482115
-200,200,4.542097
-200,200,4.602534
-200,200,4.663047
-200,200,4.7235
-200,200,4.783893
-200,200,4.84421
-200,200,4.90465
-200,200,4.964658
-200,200,5.0247
-200,200,5.245904
-200,200,5.306398
-200,200,5.366931
-200,200,5.427893
-200,200,5.488456
-200,200,5.548966
-200,200,5.609502
-200,200,5.667866
-200,200,5.726008
-200,200,5.785547
-200,200,6.007059
-200,200,6.065992
-200,200,6.12626
-200,200,6.186559
-200,200,6.245715
-200,200,6.305907
-200,200,6.366169
-200,200,6.42636
-200,200,6.486646
-200,200,6.54685
-200,200,6.768664
-200,200,6.827882
-200,200,6.887699
-200,200,6.94819
-200,200,7.00851
-200,200,7.069408
-200,200,7.130116
-200,200,7.191163
-200,200,7.251907
-200,200,7.312774
-200,200,7.373784
-200,200,7.595549
-200,200,7.655787
-200,200,7.7165
-200,200,7.775511
-200,200,7.835611
-200,200,7.89641
-200,200,7.956757
-200,200,8.017455
-200,200,8.077186
-200,200,8.137987
-200,200,8.359406
-200,200,8.419149
-200,200,8.480501
-200,200,8.541258
-200,200,8.602045
-200,200,8.661684
-200,200,8.722515
-200,200,8.783286
-200,200,8.843757
-200,200,8.904511
-200,200,9.126752
-200,200,9.186547
-200,200,9.246463
-200,200,9.3072
-200,200,9.367811
-200,200,9.428561
-200,200,9.489313
-200,200,9.550027
-200,200,9.610716
-200,200,9.671342
-200,200,9.893944
-200,200,9.953254
-200,200,10.013789
-200,200,10.073609
-200,200,10.131903
-200,200,10.191759
-200,200,10.252457
-200,200,10.31299
-200,200,10.373609
-200,200,10.434061
-200,200,10.4945
-200,200,10.714526
-200,200,10.774886
-200,200,10.835423
-200,200,10.895493
-200,200,10.955745
-200,200,11.01592
-200,200,11.076275
-200,200,11.136872
-200,200,11.197465
-200,200,11.258089
-200,200,11.479613
-200,200,11.539456
-200,200,11.599986
-200,200,11.660486
-200,200,11.720964
-200,200,11.781455
-200,200,11.841375
-200,200,11.901847
-200,200,11.962076
-200,200,12.02303
-200,200,12.245778
-200,200,12.305883
-200,200,12.366807
-200,200,12.427409
-200,200,12.488189
-200,200,12.548926
-200,200,12.609673
-200,200,12.670948
-200,200,12.731607
-200,200,12.7925
-200,200,13.014881
-200,200,13.074954
-200,200,13.133054
-200,200,13.191253
-200,200,13.249376
-200,200,13.309272
-200,200,13.369676
-200,200,13.430534
-200,200,13.491433
-200,200,13.55201
-200,200,13.612432
-200,200,13.833956
-200,200,13.893926
-200,200,13.954484
-200,200,14.015284
-200,200,14.075859
-200,200,14.136277
-200,200,14.197331
-200,200,14.257673
-200,200,14.317949
-200,200,14.378179
-200,200,14.598775
-200,200,14.658478
-200,200,14.718991
-200,200,14.779731
-200,200,14.840223
-200,200,14.900817
-200,200,14.96134
-200,200,15.021607
-200,200,15.082562
-200,200,15.144357
-200,200,15.365866
-200,200,15.425593
-200,200,15.486192
-200,200,15.546407
-200,200,15.606699
-200,200,15.66593
-200,200,15.724941
-200,200,15.784011
-200,200,15.844621
-200,200,15.905681
-200,200,16.127832
-200,200,16.187266
-200,200,16.248308
-200,200,16.309162
-200,200,16.369688
-200,200,16.430498
-200,200,16.490914
-200,200,16.551676
-200,200,16.612849
-200,200,16.673732
-200,200,16.734609
-200,200,16.955846
-200,200,17.016179
-200,200,17.076715
-200,200,17.137644
-200,200,17.199043
-200,200,17.260085
-200,200,17.318663
-200,200,17.377035
-200,200,17.435577
-200,200,17.495126
-200,200,17.716647
-200,200,17.777119
-200,200,17.838322
-200,200,17.899425
-200,200,17.960184
-200,200,18.021462
-200,200,18.081337
-200,200,18.142334
-200,200,18.203466
-200,200,18.264513
-200,200,18.486888
-200,200,18.546916
-200,200,18.608213
-200,200,18.669096
-200,200,18.730077
-200,200,18.791109
-200,200,18.852158
-200,200,18.912954
-200,200,18.973712
-200,200,19.034731
-200,200,19.257704
-200,200,19.317259
-200,200,19.378372
-200,200,19.439279
-200,200,19.500369
-200,200,19.561366
-200,200,19.622277
-200,200,19.683249
-200,200,19.743993
-200,200,19.804994
-200,200,20.027211
-200,200,20.087677
-200,200,20.148531
-200,200,20.209587
-200,200,20.270405
-200,200,20.331183
-200,200,20.392088
-200,200,20.452919
-200,200,20.513732
-200,200,20.574543
-200,200,20.635426
-200,200,20.857112
-200,200,20.917337
-200,200,20.978214
-200,200,21.039133
-200,200,21.100111
-200,200,21.160988
-200,200,21.2219
-200,200,21.282799
-200,200,21.343653
-200,200,21.404842
-200,200,21.627047
-200,200,21.686877
-200,200,21.747678
-200,200,21.808548
-200,200,21.869112
-200,200,21.929997
-200,200,21.990578
-200,200,22.051285
-200,200,22.112119
-200,200,22.172966
-200,200,22.396822
-200,200,22.455857
-200,200,22.515963
-200,200,22.576413
-200,200,22.636831
-200,200,22.697179
-200,200,22.757565
-200,200,22.818
-200,200,22.878058
-200,200,22.938378
-200,200,23.159683
-200,200,23.219157
-200,200,23.279905
-200,200,23.340361
-200,200,23.401326
-200,200,23.461497
-200,200,23.521798
-200,200,23.581603
-200,200,23.641861
-200,200,23.702223
-200,200,23.762681
-200,200,23.98413
-200,200,24.044157
-200,200,24.102709
-200,200,24.163413
-200,200,24.224609
-200,200,24.285353
-200,200,24.346241
-200,200,24.406332
-200,200,24.46463
-200,200,24.525541
-200,200,24.747651
-200,200,24.807298
-200,200,24.868032
-200,200,24.928891
-200,200,24.989571
-200,200,25.050195
-200,200,25.110921
-200,200,25.171503
-200,200,25.232758
-200,200,25.29345
-200,200,25.515734
-200,200,25.575236
-200,200,25.63618
-200,200,25.697122
-200,200,25.757965
-200,200,25.81888
-200,200,25.87977
-200,200,25.940314
-200,200,26.001176
-200,200,26.062063
-200,200,26.284088
-200,200,26.34349
-200,200,26.404183
-200,200,26.464964
-200,200,26.525613
-200,200,26.586443
-200,200,26.647058
-200,200,26.707771
-200,200,26.768424
-200,200,26.828315
-200,200,26.889086
-200,200,27.110138
-200,200,27.170885
-200,200,27.232383
-200,200,27.293114
-200,200,27.354071
-200,200,27.41461
-200,200,27.475352
-200,200,27.536133
-200,200,27.597299
-200,200,27.65805
-200,200,27.880284
-200,200,27.939859
-200,200,28.000424
-200,200,28.061126
-200,200,28.121498
-200,200,28.1821
-200,200,28.242635
-200,200,28.300098
-200,200,28.360733
-200,200,28.421743
-200,200,28.642948
-200,200,28.702077
-200,200,28.762963
-200,200,28.823545
-200,200,28.88436
-200,200,28.945206
-200,200,29.005956
-200,200,29.066559
-200,200,29.127486
-200,200,29.188343
-200,200,29.410845
-200,200,29.469965
-200,200,29.530725
-200,200,29.591185
-200,200,29.649392
-200,200,29.707401
-200,200,29.765479
-200,200,29.824873
-200,200,29.885141
-200,200,29.945404
-200,200,30.005568
-200,200,30.226927
-200,200,30.286972
-200,200,30.347398
-200,200,30.408
-200,200,30.468275
-200,200,30.528735
-200,200,30.589362
-200,200,30.649613
-200,200,30.709764
-200,200,30.770139
-200,200,30.990999
-200,200,31.050355
-200,200,31.110469
-200,200,31.170684
-200,200,31.230542
-200,200,31.289521
-200,200,31.347874
-200,200,31.407875
-200,200,31.467786
-200,200,31.528155
-200,200,31.750324
-200,200,31.809644
-200,200,31.870206
-200,200,31.930835
-200,200,31.991338
-200,200,32.051704
-200,200,32.111922
-200,200,32.172293
-200,200,32.232229
-200,200,32.290611
-200,200,32.513555
-200,200,32.572973
-200,200,32.633672
-200,200,32.694376
-200,200,32.754854
-200,200,32.816064
-200,200,32.874889
-200,200,32.935674
-200,200,32.995589
-200,200,33.056596
-200,200,33.117239
-200,200,33.338865
-200,200,33.399137
-200,200,33.457713
-200,200,33.517497
-200,200,33.575915
-200,200,33.636403
-200,200,33.697258
-200,200,33.758095
-200,200,33.819329
-200,200,33.880061
-200,200,34.101666
-200,200,34.160008
-200,200,34.218158
-200,200,34.276266
-200,200,34.334375
-200,200,34.392484
-200,200,34.452096
-200,200,34.512589
-200,200,34.573128
-200,200,34.633803
-200,200,34.855875
-200,200,34.915283
-200,200,34.975673
-200,200,35.036312
-200,200,35.095854
-200,200,35.154153
-200,200,35.212447
-200,200,35.271515
-200,200,35.332118
-200,200,35.392772
-200,200,35.617994
-200,200,35.676925
-200,200,35.73736
-200,200,35.797959
-200,200,35.858113
-200,200,35.918516
-200,200,35.97897
-200,200,36.039417
-200,200,36.099832
-200,200,36.160229
-200,200,36.220637
-200,200,36.442042
-200,200,36.502272
-200,200,36.562915
-200,200,36.623527
-200,200,36.68404
-200,200,36.744612
-200,200,36.805067
-200,200,36.865494
-200,200,36.926121
-200,200,36.987164
-200,200,37.208026
-200,200,37.267768
-200,200,37.328097
-200,200,37.389309
-200,200,37.449464
-200,200,37.508966
-200,200,37.569624
-200,200,37.630309
-200,200,37.691076
-200,200,37.751677
-200,200,37.973554
-200,200,38.033114
-200,200,38.093148
-200,200,38.154235
-200,200,38.215227
-200,200,38.275948
-200,200,38.336781
-200,200,38.397375
-200,200,38.456065
-200,200,38.514091
-200,200,38.734675
-200,200,38.793687
-200,200,38.854037
-200,200,38.914334
-200,200,38.975037
-200,200,39.033833
-200,200,39.09331
-200,200,39.153929
-200,200,39.214231
-200,200,39.272535
-200,200,39.493599
-200,200,39.554063
-200,200,39.614536
-200,200,39.675028
-200,200,39.735819
-200,200,39.79658
-200,200,39.857179
-200,200,39.917997
-200,200,39.978486
